,Hotel,Review,Score
60,Hotel Cavendish, Only the position of the hotel ,0
61,Hotel Cavendish, Great little place to stay at a fraction of the cost of other hotels we have used in london we stayed for 2 nights and have nothing bad to say comfy bed free wifi and a good little english breakfast Very happy and helpful staff ,0.9648
62,Hotel Cavendish, Room was spacious and clean Beds comfortable Got a kingsize and a double bed which was better than expected We thought a double bed and a single Room was for myself my daughter and my niece Shower room toilet was clean although shower curtain a bit grubby looking Clean towels each day and top up of tea coffee Would stay again as nothing was very bad All in all a pleasant stay ,0.966
63,Hotel Cavendish, Being moved to the room I booked on the second night Breakfast very good ,0.4927
64,Hotel Cavendish, The room was comfortable for our stay Clean and modern Reception staff were friendly and helpful ,0.9001
65,Hotel Cavendish, The hotel was located 5 minutes away from Euston station in a quiet and peaceful area quite close to a number of different amenities The breakfast was acceptable The receptionist Patel was exceptionally helpful and friendly ,0.9073
66,Hotel Cavendish, Nothing,0
68,Hotel Cavendish, The staff were polite The breakfast excellent for the start of the day The hotel was central and reasonably priced for what we wanted Would definitely use this hotel again Hoping to go bk in November its not luxury but it is clean and comfortable ,0.9201
69,Hotel Cavendish, I needed accommodation at very short notice and they had a room available It was described as a cabin and that is a fair description of the smallest room I ve had since a school trip ferry to Gothenburg ,0.3182
71,Hotel Cavendish, Good freshly cooked breakfast with choice of items Perfect location for British Museum public transport including Piccadilly Line direct from Heathrow and both West End and City East End ,0.765
72,Hotel Cavendish, The breakfast at the hotel was fine The location was great as your not far from a lot of attractions and links around London The hotel staff were very nice and extremely helpful ,0.9311
73,Hotel Cavendish, Nice area,0.4215
74,Hotel Cavendish, Comfortable beds Friendly staff Small rooms and bathroom Not a WOW factor Close to the british museum OK breakfast ,0.7021
75,Hotel Cavendish, Location was good they changed the towels everyday ,0.4404
76,Hotel Cavendish, Location was good near to Euston station Good breakfast served promptly and with a smile,0.8074
77,Hotel Cavendish, No bad location ,0.431
78,Hotel Cavendish, The location was quite convenient,0
79,Hotel Cavendish, Great location Breakfast was tasty,0.6249
81,Hotel Cavendish, very close to the city walking distance,0
82,Hotel Cavendish, I had a tiny cabin room but the layout was great it was very clean and despite size very comfortable I thought it d be windowless but it had a window The bed is single size Great value for money The location is amazing ,0.9709
83,Hotel Cavendish, My first experience of a cabin bedroom in London that actually worked Well laid out with everything you need including a decent hairdryer Reception and breakfast room staff were pleasant and helpful Good freshly cooked breakfast items A good location for my meeting and British Museum exhibition Lovely hot shower ,0.9501
84,Hotel Cavendish, The location was ideal for us The beds were comfortable ,0.7717
85,Hotel Cavendish, Bed comfortable Shower good and hot ,0.7351
86,Hotel Cavendish, The bed and sofa were very comfortable and the location was super ,0.8173
87,Hotel Cavendish, Very light scrambled eggs Friendly staff Good location,0.7269
88,Hotel Cavendish, Bed was good,0.4404
89,Hotel Cavendish, Breakfast good,0.4404
90,Hotel Cavendish, The room was adequate and clean for a one night stay ,0.5574
91,Hotel Cavendish, Room was nice and big for a London hotel friendly and helpful staff location was very handy for access to town centre by foot or tube ,0.8316
92,Hotel Cavendish, It was near my venue for the next day The bed was very comfortable The staff exceptionally pleasant and helpful Breakfast ample and good choice My room was clean and I had a good TV ,0.9568
93,Hotel Cavendish, Friendly staff lovely breakfast perfect location ,0.8934
94,Hotel Cavendish, I liked the location and staff on the reception ,0.4215
95,Hotel Cavendish, Reception desk staff were lovely polite and credit to the hotel Good location,0.8519
96,Hotel Cavendish, Good location,0.4404
97,Hotel Cavendish, NOTHING,0
98,Hotel Cavendish, good location reasonably priced The staff were friendly Breakfast was very good Really liked that if you are a coffee drinker you got a pot of coffee and not just a mug like some places Room was small but what do you expect when you book a cabin room ,0.7949
99,Hotel Cavendish, Short walk to tube buses and boris bikes Great location though we walked from hotel to London eye and going the other way as far as Camden Market Only 35mins walk Room was a decent size considering the price and location Expected a box room but was more than comfortable size ,0.8135
100,Hotel Cavendish, Location and small and intimate other than the ants was clean and comfortable,0.7184
101,Hotel Cavendish, The breakfast was lovely love the scrambled eggs,0.8402
102,Hotel Cavendish, With a little bit of upkeep of the property example whitewash of walls doors of rooms need to be looked into safe in room in wardrobe but on the floor so it is difficult to operate these little things that matter and they could easily be done Otherwise we a very good time Rooms clean staff helpful b fast good ,0.9485
103,Hotel Cavendish, All good room clean and comfortable I might make this my London base Close to Goodge St on Northern line ,0.836
104,Hotel Cavendish, The location is perfect for attractions Underground is close Staff are very friendly and helpful ,0.9195
105,Hotel Cavendish, Quiet house cheerful friendly staff very good breakfast very reasonable price convenient for the University and British Museum ,0.8718
106,Hotel Cavendish, The breakfast was good good choice for continental if not a bit basic the cooked breakfast was fresh and very tasty ,0.7964
107,Hotel Cavendish, The location close to the theatre we were visiting,0
108,Hotel Cavendish, Location,0
109,Hotel Cavendish, Nothing,0
110,Hotel Cavendish, Friendly staff very good location just a few minutes walking of the British museum good English breakfast At the end of February and no need for heating but was cold outside No traffic sounds at the back of the building WiFi Ok,0.5494
112,Hotel Cavendish, It was reasonably priced in a good location Quieter than expected Clean and comfortable but not luxurious Ideal just to sleep and breakfast before more sightseeing ,0.0736
113,Hotel Cavendish, The hotel was very central and area was good would recommend for ease of walking around the city centre Great that there was cover on reception 24 hours ,0.9001
114,Hotel Cavendish, The breakfast was ordered from us and served very quickly ,0
115,Hotel Cavendish, The curtains were nice ,0.4215
116,Hotel Cavendish, Location to Euston station is good and breakfast selection was ok ,0.6249
117,Hotel Cavendish, The Staff was very friendly The room was warm and Nice The location is very good In just a few minutes you ll be in Oxford Street or the brittish museum And there is a lot of restaurants very near the hotel They let us keep the luggage in the reception our last day that was very good ,0.9271
120,Hotel Cavendish, Staff is helpful and very friendly Location is excellent Breakfast is good ,0.9168
122,Hotel Cavendish, hotel workers were good and helpfull location is definatelyy perfect ,0.765
123,Hotel Cavendish, The room was clean and no smell at all I really appreciated the free water bottle waiting for me Full English breakfast was included and is was very quick and lovely,0.9139
124,Hotel Cavendish, the location and the price,0
125,Hotel Cavendish, Very friendly staff ,0.5413
126,Hotel Cavendish, Breakfast ready before first sip of coffee Friendly staff Clean tidy ,0.8126
127,Hotel Cavendish, Bed was ridiculously comfortable and the shower was fantastic Breakfast facilities were excellent with prompt and attentive service,0.8481
128,Hotel Cavendish, Breakfast very good friendly efficient staff Good choiceof menu Reception staff friendly and helpful Only 5 mins walk from Euston Square Tube Station Single room I was in adequate though bit on the drab side,0.9614
129,Hotel Cavendish, The staff were very friendly and kind Room was great had everything we needed Great location for theatre goers ,0.9465
130,Hotel Cavendish, Good breakfast freshly cooked Staff very friendly ,0.7501
131,Hotel Cavendish, Perfect location I had to travel around London for meetings in different places the perfect location of the hotel allowed me to easily commute with the tube and on foot ,0.8689
132,Hotel Cavendish, Location is superbly central and allows easy access to all attractions ,0.6908
133,Hotel Cavendish, The hotel was warm with good Wifi close enough to Euston and close to a tube station Very good value for money ,0.8648
134,Hotel Cavendish, There was one particular guy at the desk during the day who was very helpful and patient,0.4754
135,Hotel Cavendish, The room and the bed were really nice Had a little TV It was lovely that I could walk to Camden market or to the city centre from the hotel as you were so close I everything I managed to walk 15k when I stayed here Brilliant,0.8932
136,Hotel Cavendish, For 75 b b can t really complain although room was little more than a cupboard Room was warm enough and generally clean The staff were friendly The breakfast was perfectly adequate ,0.8781
137,Hotel Cavendish, The staff in the restaurant are really kind ,0.5709
138,Hotel Cavendish, The staff were very friendly and helpful Breakfast was very good plenty of choices The bed was very comfy The bathroom was small but had everything you needed and was clean It was in a good area for the underground and quite a few of the tourist attractions I would definitely go and stay there again ,0.9639
141,Hotel Cavendish, The staff were very friendly and helpful Breakfast was good ,0.8576
142,Hotel Cavendish, The breakfast it was ok ,0.296
143,Hotel Cavendish, Not a 4 Star Hotel 3 at best But a good price for a great location so would recommend as bed was comfy ,0.9499
144,Hotel Cavendish, Very clean room Very central few mins walk from oxford street Very good for the money paid ,0.734
146,Hotel Cavendish, Very easy travelling from kings cross and well situated close to the underground but easy to get a taxi also staff very helpful ,0.8918
147,Hotel Cavendish, Friendly staff Good breakfast Very clean and good bathroom for size of the room ,0.9053
148,Hotel Cavendish, Reception staff was friendly Very close to UCL Kings Cross Oxford street and Covent Garden Bed was quite comfy I could leave my luggage after checking out Good that breakfast was included,0.7096
149,Hotel Cavendish, The room was good and comfortable Staff were friendly and helpful ,0.9042
150,Hotel Cavendish, The location was great walking distance to Goodge Street tube station under 5 minutes Russell Square tube station about 10 minutes and the heart of the theatre district 15 minutes Breakfast was nice full English breakfast available and made to order as well as a selection of cereals yogurt and fruit The room was incredibly quiet I heard no noise from the stairway other rooms or the garden ,0.9001
151,Hotel Cavendish, well the hotel was close to everything ,0.2732
152,Hotel Cavendish, friendly staff room size for a city centre hotel of this size was larger than expected staff happy to look after bags before and after use of room ,0.7845
153,Hotel Cavendish, Nothing ,0
154,Hotel Cavendish, Bed was good staff and location was good,0.7003
155,Hotel Cavendish, 1 The location is very central Oxford St British museum lots of buses to go elsewhere 2 It is possible to leave the luggages at the frontdesk on the day of departure without any fee 3 Calm bedroom we were on the 2nd floor view on the garden and warm room,0.4588
156,Hotel Cavendish, We booked a double room hiwever bed was a little bit bigger than songle Room very small,0
157,Hotel Cavendish, The staff were helpful particularly on arrival Breakfasts were good and freshly cooked In terms of London prices it was fairly good vfm ,0.8225
158,Hotel Cavendish, Excellent location close to all public transport the British Museum and the shopping area Good breakfast it was good but not big ,0.6428
159,Hotel Cavendish, great english breakfast nice hot water absolutely perfect location for sightseeing,0.8977
160,Hotel Cavendish, Great location clean rooms,0.7783
161,Hotel Cavendish, Breakfast was ok ,0.296
162,Hotel Cavendish, The location And the staff were friendly,0.4939
163,Hotel Cavendish, This hotel is located in a cozy and quiet place Breakfast was just ok ,0.296
164,Hotel Cavendish, Location perfect and having paid 75 for a night it was very good value,0.8615
165,Hotel Cavendish, Excellent location and breakfast every morning ,0.5719
166,Hotel Cavendish, If there s anything good its probably the receptionist Tough to be working in such a strenous condition and still greet people with a smile ,0.7351
167,Hotel Cavendish, Very small ,0
168,Hotel Cavendish, The rooms were ok,0.296
169,Hotel Cavendish, Great freshly cooked breakfast great location in central London Cabin rooms are what they say small rooms Only downside is the window is not double glazed so bit drafty ok in these warmer days ,0.8971
170,Hotel Cavendish, Good room size on quiet side of hotel Excellent breakfast ,0.765
172,Hotel Cavendish, Plus point it s in London with friendly staff ,0.4939
173,Hotel Cavendish, Location was really good The man on arrival was really friendly and helpful The room was basic but comfortable It was a different man when we left who was just ok barely glanced our way Praise goes to the check in man the comfort of the bed and the location ,0.9673
175,Hotel Cavendish, Leaving ,0
176,Hotel Cavendish, Room was extremely cold asked for blanket and was given a bed sheet that wasn t helpful Wifi never worked in room and both rooms they did change me to an equally cold room were not properly cleaned ,0.4215
177,Hotel Cavendish, Staff The receptionist was extremely nice and helpful Location Descent location close to underground and basically in the heart of London with many youngsters around university nearby ,0.8849
178,Hotel Cavendish, Very nice staff both at the reception and in the kitchen Very good localisation in the heart of London Decent internet speed in WiFi,0.8882
179,Hotel Cavendish, Basic accommodation but in an excellent location Clean Staff were friendly helpful Facilities were adequate for needs on this occasion ,0.9636
181,Hotel Cavendish, nothing,0
183,Hotel Cavendish, The staff were very pleasant and the hotel is nicely decorated ,0.7574
184,Hotel Cavendish, Location was excellent Breakfast and staff were very good Room was spacious and warm Bed was comfortable ,0.902
185,Hotel Cavendish, I really loved this hotel the staff were incredibly welcoming helpful and kind I had a tiny but perfectly formed room the location was amazing and breakfast was really very good All in all it was excellent value and I will be returning ,0.987
186,Hotel Cavendish, Staff were friendly and wifi was efficient ,0.7184
187,Hotel Cavendish, Close to Euston and UCL hospital which was the reason for our visit ,0
188,Hotel Cavendish, Good location Easy short walk to Euston Station Oxford St British Museum Covent Gardens Madamme Tussauds etc ,0.7003
189,Hotel Cavendish, The hotel was convenient for Euston The room and the bed were nice The biscuits were nice The tea was fine Good WIFI,0.8519
190,Hotel Cavendish, Location ,0
192,Hotel Cavendish, only the location and the breakfast,0
193,Hotel Cavendish, Great breakfasts Location was fantastic for me ,0.8271
194,Hotel Cavendish, For 95 I expected at least a wardrobe It was detailed as a cabin room but small size not stated Got upgrade ok but others need to be aware of this in room description,0.4215
195,Hotel Cavendish, It was in a good locations braskfast was fine ,0.5719
196,Hotel Cavendish, Really friendly staff who gave a very warm welcome and were really helpful ,0.9013
197,Hotel Cavendish, Tiny room which I expected I was very impressed by the facilities in it and the layout Clean and comfortable Nice hot shower Nice welcome from reception ,0.9516
198,Hotel Cavendish, Breakfast is quite nice Location is easy for getting around Some of hotel staff are nice however some are not ,0.8313
199,Hotel Cavendish, the staff were very friendly and the reception staff were so helpful with everything the room was clean and we had maid service which we weren t expecting but she had tidied all our stuff breakfast was good and plenty of choice to fill up ready for our day we will defo return ,0.9101
200,Hotel Cavendish, location,0
201,Hotel Cavendish, The location was excellent the breakfast was good and the staff were very friendly ,0.8777
202,Hotel Cavendish, Good value for money Friendly staff ,0.8176
203,Hotel Cavendish, Great location very central for theatre or sightseeing,0.6249
204,Hotel Cavendish, Room was really tidy and bright and being provided with a lot of towels was helpful Staff were quick to serve us at breakfast ,0.7152
205,Hotel Cavendish, Location was close to underground,0
206,Hotel Cavendish, Location was great Checking in and out worked perfectly ,0.8519
207,Hotel Cavendish, Nice bed nice room in general Also they let us leave our bags there after checkout until it was our flight time We left our bags there for an entire afternoon after checkout ,0.6597
208,Hotel Cavendish, Location,0
209,Hotel Cavendish, the location,0
210,Hotel Cavendish, Nice staff Good location I have read the negative comments of others and think that many are unfair It is a reasonably priced central London hotel The room was not huge but it was clean comfortable and well furnished The breakfast was quick and tasty ,0.8631
211,Hotel Cavendish, Location ,0
212,Hotel Cavendish, At 205 00 per night I would want something a big bigger and better,0.4939
213,Hotel Cavendish, Room was adequate Location was superb for British Museum ,0.7184
214,Hotel Cavendish, The location is pretty brilliant if you have reason to be around the Bloomsbury Tottenham Court Road area also Euston King s Cross are close as is Oxford Circus Breakfast was fine if not extraordinary I haven t tried the cooked full English one though Staff were all friendly ,0.9001
216,Hotel Cavendish, Not a lot frankly,0
217,Hotel Cavendish, We were given a map of the city by the reception It saved us 20 on all the meals that we ate in the city The same off the entry to Kew gardens ,0.4215
221,Hotel Cavendish, Although on the small side the room was sufficient for my needs Can t comment on the breakfast as I did not partake ,0
222,Hotel Cavendish, The location is great near Oxford Street that s why the quality price ratio is good ,0.7906
223,Hotel Cavendish, Breakfast good,0.4404
224,Hotel Cavendish, Quick service and staff very pleasant,0.5563
225,Hotel Cavendish, The new guy on staff started September 2016 was super friendly and really helpful ,0.8805
226,Hotel Cavendish, The room was a good size and reception staff very friendly,0.7501
227,Hotel Cavendish, excellent staff Rooms very tidy Breakfast room staff very pleasant and accomodating Hotel in good position for transport and sightseeing certainly value for money ,0.9324
228,Hotel Cavendish, Nice staff Handy location for theatre and tube stations Good price I didn t expect the Ritz so that was ok Budget room was handy floor didn t look too clean Bathroom v cramped Ok fir solo tho ,0.9014
229,Hotel Cavendish, Location was good ,0.4404
230,Hotel Cavendish, The location was well situated for The Theatre It was near a tube stop and the breakfast was delicious,0.5574
231,Hotel Cavendish, Nice breakfast,0.4215
232,Hotel Cavendish, Location is superb but room is cramped That suited me as I needed somewhere to sleep Price is very competitive and fair,0.8118
233,Hotel Cavendish, Excellant location right on top of Russell Sq and Tott Court Rd and tube stations with loads of pubs near by Bed was comfy and the room was spacous ,0.2023
234,Hotel Cavendish, Staff were very obliging and the location is excellent ,0.5719
235,Hotel Cavendish, Tea and coffee making facilities and a complimentary bottle of water in room Safe available Iron available ,0.7003
236,Hotel Cavendish, The location,0
237,Hotel Cavendish, First room allocated was very small with small double bed pushed against wall We put up with it 1 night but asked for another room for 2nd which they gave us Breakfast was good and staff friendly ,0.8462
238,Hotel Cavendish, The location was great and staff were helpful ,0.7845
239,Hotel Cavendish, What croissants However breakfast and breakfast staff were fine ,0.2023
240,Hotel Cavendish, Location near two underground stations Breakfast staff was nice and attentive to requests and needs Hotel staff were accommodating to the best of their ability Complementary water bottles offered each day ,0.8519
241,Hotel Cavendish, The Location was truly excellent for the price and the view out the window was so green it was easy to forget you were in the heart of London ,0.9153
242,Hotel Cavendish, location was great as needed overnight between Euston and Portland Place Breakfast great full English plus good choice of fruits etc Nice student I assume breakfast staff,0.9313
244,Hotel Cavendish, Location Welcoming staff Good english breakfast Beds were comfy ,0.7003
245,Hotel Cavendish, Location was brilliant,0.5859
246,Hotel Cavendish, Nothing about this overpriced parody of a hotel Overpriced neglected tired cold Availability at the last moment But felt like the last chance saloon,0.3818
247,Hotel Cavendish, Good location great price and rooms were small but comfortable quick and easy check in out friendly staff Suitable for short stays would stay there again ,0.9524
248,Hotel Cavendish, Nil Actually this hotel set me thinking why we need so much space in our rooms,0
249,Hotel Cavendish, Great selection ,0.6249
250,Hotel Cavendish, Nice bed it was made very tight though so when I pulled the duvet off almost everything came with it Bathroom was ok Short walk to Euston train station and shorter one to Euston Square underground Breakfast was more than adequate and the breakfast staff staff were lovely ,0.8744
251,Hotel Cavendish, staff were pleasant and helpful we arrived early so left our bags for the day before returning to check in on day of departure we kept our bags at reception after check out whilst sight seeing again returning later in the evening to collect that was not a problem so was very appreciated room was clean tidy for 1 adult and 2 children it was small but it was adequate for our 2 night stay I would say it would have been better for just a single or couple though Breakfast was nice just the basics the girls working were friendly and attentive to guests coming into the b fast room ,0.965
252,Hotel Cavendish, Good breakfast central location ,0.4404
253,Hotel Cavendish, The staff was very friendly The room was nice and clean Very good location with several metro stations nearby ,0.9039
254,Hotel Cavendish, We were allowed to leave our cases in the lobby before check in and after check out Bathroom was very good in terms of function cleanliness and supplies,0.4754
255,Hotel Cavendish, A pleasant and comfortable room even though it was in the basement and on the noisy road side Convenient to be right next to the breakfast room The staff at Reception and for the two breakfasts we had in the hotel were friendly and obliging The best thing about this hotel was its location walking distance from British Museum London University buildings and 2 tube stations with an excellent branch of Waterstones just across the road ,0.9517
257,Hotel Cavendish, The hotel was in a great location right near both Goodge Street and Russell Square station The breakfast was good at the girls at breakfast were very helpful The rooms were made up daily ,0.8777
258,Hotel Cavendish, Great location approx 30 mins walk slowly from all the theatres and Trafalgar Square 5 mins walk from Goodge Street tube station ,0.6249
260,Hotel Cavendish, Gentleman on reception when we arrived was so helpful He rearranged rooms so that the least mobile in our party were on the ground floor he helped us with places we wanted to visit and even walked halfway doen the street to hail us a cab The rooms were lovely and a great breakfast ,0.9384
262,Hotel Cavendish, The staff was so helpful ,0.5598
264,Hotel Cavendish, The breakfast was generous and good The location is excellent ,0.872
265,Hotel Cavendish, Ideal location within walking distance to tube stations shopping streets and many major museums Decent breakfast some plain yoghurt would have been nice with the cereal on offer but the full English breakfast and or bacon eggs are good Easy to leave and collect luggage ,0.8885
266,Hotel Cavendish, Nice selection at breakfast Very good location Clean Room only made up for two teacups etc but gentleman on front desk who checked us in was very obliging with this ,0.6096
267,Hotel Cavendish, This is a good basic hotel in a great location and a good price The staff are lovely,0.9287
268,Hotel Cavendish, The location is great Central London on your doorstep Fabulous,0.8176
269,Hotel Cavendish, Lovely breakfast Bed comfortable Close to stations,0.7964
270,Hotel Cavendish, Quite close to London st Pancras and not too fat to walk to Covent Garden and Westminster Breakfast OK but portions small,0.2421
271,Hotel Cavendish, It s London You ll overpay for crappy hotels But you can do a little better than this if you take the time to look ,0.2756
272,Hotel Cavendish, Breakfast was good but a bit rushed,0.2382
273,Hotel Cavendish, Good location clean and lovely staff but nothing fancy at all we had a lovely sleep but I was surprises when we arrived how modest it was Photos are too good ,0.9485
274,Hotel Cavendish, The location a perfect central point for getting around to many museums and to the underground ,0.5719
275,Hotel Cavendish, Good price Nice free daily breakfast Very helpful friendly staff ,0.939
276,Hotel Cavendish, Breakfast and location,0
277,Hotel Cavendish, Good position Polite staff ,0.4404
278,Hotel Cavendish, Good location is the only plus point,0.4404
279,Hotel Cavendish, All very good The breakfast ladies were terrific and served up a superb English breakfast ,0.8858
280,Hotel Cavendish, When we first got there we were put in a room facing the street when I had requested a garden facing room and the bed was not a double just a bit larger than a twin And the window wouldn t open and it was warm and w o AC or Fan which I had also requested and was stated to have However when we complained about the window the day manager was great He moved us to a larger room on the garden side and a fan and the window would open The room was very comfortable as was the bed The staff was friendly helpful and gracious The full English breakfast was very good and they had yogurt and fruit and cereal too The location is wonderful 5 minute walk to the British museum and not far from the West End for theatre and close to many other museums and good restaurants ,0.9832
281,Hotel Cavendish, The hotel location was closed to my business The breakfast is served by a very polite staff and it is ok ,0.296
282,Hotel Cavendish, In a good position and cheep,0.4404
283,Hotel Cavendish, This is our third time to stay at Hotel Cavendish We love the location in the university area The breakfast is nice The rooms are comfortable and the staff are helpful and kind The cost is very reasonable all quite comfortable A very good value ,0.9775
285,Hotel Cavendish, Good breakfast Ideal location for Euston and facilities available in the evening in the area My room at the back was quiet,0.743
286,Hotel Cavendish, Location was very good Bedroom very clean Breakfast fab mixed fruit salad cereal small cooked breakfast Orange juice tea toast Dining room spotless and staff there very attentive as were Reception staff Thanks to all for such an enjoyable stay ,0.9354
289,Hotel Cavendish, The location is good ,0.4404
