,Hotel,Review,Score
17,Hotel Cavendish, Just a little tired,-0.3832
18,Hotel Cavendish, Room small Bathroom even smaller and not particularly clean No air conditioning Entrance needs a revamp in fact the hotel could do with a complete revamp ,-0.0979
19,Hotel Cavendish, There was a water pump in our bathroom room 306 In the first night in only started when we turned on the hot water Second night was 3 seconds on 2 seconds off All night Couldn t sleep all night We informed the reception desk at about 8pm and asked to fix the problem or change our room We were promised the problem will be fixed When we returned there was another guy at the reception who said he did not work there and the problem was the same After a horrible night before our checking out we asked to talk to the manager but we were told he cannot be contacted because it s Saturday We want our money back 180 pounds night Can anybody help us ,-0.0129
20,Hotel Cavendish, Overall scruffy impression of entire property room extremely noisy close to busy street and windows not at all soundproof WiFi very poor ,-0.5402
21,Hotel Cavendish, Cups washed up each day they stayed dirty all week in the end I left them in breakfast Room and took two clean ones also all week I don t think the room was hovered When my key didn t work to get in room I waited 20 mins in reception no one there I phoned the number twice no one came,-0.5106
23,Hotel Cavendish, Carpet is utterly dirty so is the rest of the hotel Unprofessional stuff ,-0.7574
24,Hotel Cavendish, Room location G4 behind reception and next to main stairs noisy Room was grubby dull miserable Curtains didn t fit rail window shutters rotting at the top falling off the wall carpet dirty shower room toilet filthy hairs and dirt Looked like the room was an afterthought Complementary toiletries consisted of 3 bars of soap nothing else Room was a double but only one cup and saucer and no glasses Overall VERY POOR would not recommend to anyone,-0.9486
25,Hotel Cavendish, Access to the room wasn t good as I had to walk up 2 flights of stairs through 3 fire doors and down 2 flights of stairs to reach it It was a ground floor room with window wide open on arrival not very safe for a lone female traveller The room was not properly cleaned after the first night bed not made only one of the two bins emptied and dirty cup left The Breakfast was ok but staff got part of order wrong on first day For the price I was disappointed,-0.9014
26,Hotel Cavendish, Ripp off even for London Small room under the roof sold as 4 star en suite bedroom for 3 people Stinky hot and loud tiny bath cabin rusty thin sofa bed which was not even prepared dirty sock of a prior guest under the bed Dirty entrance mediocre breakfast indifferent staff Don t go ,-0.6662
29,Hotel Cavendish, There were a few areas of the room that were untidy ie the shower finishings and a little dusty in some areas ,0
31,Hotel Cavendish, This definitely not a four star hotel We stayed on campsites that were cleaner and safer than this hotel Our room was tiny and had mould all over the wall the window was broken and open to a construction structure that is holding the building from collapsing The tiles in the room bathroom were broken with gaps in the floor We felt very itchy when we were in the room and had bad allergies very dusty and dirty room Staff were incredibly rude and are mainly backpackers or recent arrivals to the UK who completely miss the point of customer service We had an instance where we required assistance in our room and staff just hang up the phone on us 3 times for simply asking whether the hotel provides shampoo and body wash After multiple calls we were informed they forgot to order any usually I ll be ok with this but not sure why they hang up in our face We had to walk through the kitchen area to get to our room which feels like an worn out tiny attic Staff were very noise because of gaps in the kitchen ceiling we could hear them speak at random hours at night very loudly They also wake up early for their shift and have random chats outside our door I m shocked that Booking com doesn t verify descriptions and hotel ratings provided and allow a hotel like this to advertise a 4 5 star rating Highly upsetting and concerning ,-0.9091
32,Hotel Cavendish, Frankly the single en suite room was insulting for the price charged The window would not open the cords on the pulley system had been severed and the room was only as wide as the length of a single bed There was hardly room to swing a cat in it I complained to reception about the window and was moved to another single room where the window did open but only because toilet roll was wedged beneath the window to create an opening I was put in a different room for my final second night to compensate which was a much more spacious triple room ,-0.3506
33,Hotel Cavendish, Very dirty the carpets stinks a holiday caravan have bigger toilets and shawers very noice imposible to sleep due to the noice smell and especially the bed was horrendous the patio which you can see from the bedroom window looks like a rubbish storage I travel very often around the world for business and pleasure this hotel is by far the worst hotel ever have the misfortune to visit I will never recommend to any one my night in this hotel was a TORTURE ,-0.8987
34,Hotel Cavendish, Bed was uncomfortable tiles on bathroom floor were loose and cracked this place definitely needs refurbishing no teaspoon in room and twice had to ask for milk in room ,-0.3287
36,Hotel Cavendish, The bathroom was very smelly No smoke detector Could do with a redecorate On check in and check out no staff in reception ,-0.5688
37,Hotel Cavendish, Unfortunately the weather was a little poor within our stay but there is not a lot that can be done about that ,-0.3825
39,Hotel Cavendish, For brakfast to wait z15 minutes for seating The room below ground level wit bars at the window Shower nowhere you could Hold Yourself and very slippery Needs in many places to be renovated Very dangerous stairs to the room and breakfast room The price of Pound 275 for two nights by far too high Page of booking com Shows four stars should be maximum three Due to the bad information on your side it partly spoiled our holiday ,-0.6659
40,Hotel Cavendish, You pay a lot for a hostel because I can not consider that a hotel The room is very small old no really clean The waitress are not good never hello bye can I help you I am not saying that I need that they smile or be friendly but you are working with customers you have to have a different attitude They don t have a room where you can keep your luggages so if you arrive before 14 00 you have to leave them in the middle of the reception I am very disappointed with Hotel Cavendish ,-0.6597
41,Hotel Cavendish, Room was a bit small and could use some updated painting lampshades etc ,0
42,Hotel Cavendish, The room we were located in was next door to the breakfast room and so we had early wake ups everyday as the staff were setting up and from then on until breakfast had ended The breakfast room was small and couldn t always accommodate all those that were staying as it was always busy on one day us having to wait for an hour for a table to become available The room was also located near the staff entrance from the street and so again was always fairly noisy ,-0.1779
43,Hotel Cavendish, This was a typical budget hotel in London a little drearier and mustier in its furniture and decor than some of the other Gower Street hotels The windows wouldn t stay open so it was impossible to get fresh air and even when the temperature was pleasant outside it was sweltering and stuffy in the room The rooms are very tiny and cramped so if you need to spend any time in your room or hotel to work or attend to business this hotel is not a good choice There is no place to sit besides on the bed itself The poor water pressure was to be expected in a London hotel in this price range The breakfast is pretty standard except for the instant coffee which I found disappointing even in comparison to other hotels in this price range While the bathroom and washable bedding seemed clean the carpets and curtains and decorative pillows badly need to be freshened up I don t think they re dirty exactly but they smell musty and look very worn ,-0.761
45,Hotel Cavendish, The room location on the ground floor my door opened onto the back garden i was woken up in the early hours most nights by numerous situations due to room location ,0
46,Hotel Cavendish, no problem to offer to client stinky and overheated room under the roof with some pipes problems with explanation due to weather conditions very unprofessional,-0.7604
47,Hotel Cavendish, The worst value for money I ve had in London There is no way it s worth 130 per night In terrible need of redecoration Had the smallest room I ve ever stayed in Will never stay here again Terrible ,-0.8481
48,Hotel Cavendish, No lift and we were on the 3rd floor No aircon so baking hot Decor very tired and some in poor condition Bathroom smelled musty Breakfast was rubbish everything microwaved Could not use garden as overgrown ,-0.8655
51,Hotel Cavendish, Double room was so small that we could not walk with our bags at the floor Room was dusty and breakfast was bad Very old building Photos posted do not represent reality ,-0.5423
52,Hotel Cavendish, Public liability insurance went out if date 2009 Room exceedingly small No glasses no drinking water no hairdryer Breakfast was rushed and staff were task orientated Asking us how we want our eggs cooked whilst we are still choosing cereals Breakfast was cheap ingredients and tepid Wardrobe full of dust Loose wires everywhere No one asked us if we enjoyed our stay when we checked out ,-0.4959
54,Hotel Cavendish, Extra sofa bed was very uncomfortable had to sleep on top of the duvet covered with sheets No possibility for an extra duvet Tights stairs and hallways but only annoying when carrying large bags Breakfast a bit boring small portions but you could get refills PS Short breakfast time 7 30 9 30 all days ,-0.8247
55,Hotel Cavendish, It was not the cleanest hotel I had hairs in the shower but it was great they cleaned my sheets and bathroom every day I also had no bin in my room which was not the best ,-0.1783
56,Hotel Cavendish, Cobwebs on the curtains and ceiling At 8am we were told the kitchen ran out of coffee at breakfast Other guests queried if it is possible to go buy some The staff ignored any voice of inconvenience People next door smoked Staff did not bother ,-0.4145
57,Hotel Cavendish, Not a 4 hotel Room was very adequate in need of refurbishment Room very hot and noisy as next to breakfast room Bathroom poor ,-0.4349
58,Hotel Cavendish, The room was tiny a cabin Booking com says it s a 4 star hotel but really it only deserves 2 5 stars No drinking glass soap dish or accessible mirror in the bathroom Poor shower Wifi mediocre No fridge Saw mice in the dining room one evening Poor management ,-0.9313
59,Hotel Cavendish, Bathroom was very poor with visible damages on the walls and equipment No stands for soap or shampoo no wentilation often lackin towels ,-0.8655
61,Hotel Cavendish, Decor in hotel was tired Narrow staircase which could possibly prove difficult for older people Ceiling in bedroom obviously had problems with dampness Breakfast was disappointing Full English breakfast consisted of 1 egg 1 rasher of bacon 1 sausage baked beans and 1 small cooked tomato However there was a choice of cereals and fruit and also toast Staff pleasant ,-0.7906
62,Hotel Cavendish, Originally booked the cabin room then upgraded via you to a single room but on arrival told I had to have the cabin no upgrade from you he said Would not tell me if there was a single room available or not Spent dreadful sleepless night right up against a draughty old window with street noise etc so asked to be upgraded the next morning even to a double room told no upgrade from you but when I presented your print out was then moved later in the day to a single room which was fine and had secondary glazing re traffic noise Their www site which boasts a refurbishment is none sense a cushion and a useless short bed cover You really should consider de listing this place What use is a wardrobe with only one coat hanger ETC ETC ETC Its a tired distressed place in much need of the refurbishment they claim to have made Would have to think twice about using your site again sorry but just not good enough all round But they did not charge me for the upgrade on the second night Breakfast was good with a hardworking staff P S TV remote did not work on the second night,-0.9052
65,Hotel Cavendish, Pathetically small room MICE not cleaned properly cracked sink poor shower noisy computer says no staff refused to refund even breakfast I wasn t going to eat there I have stayed in hundreds of hotels and this ranks as one of the worst anywhere in the world ,-0.9003
69,Hotel Cavendish, The room was the smallest I have ever slept in There was no lift The room telephone did not work It took one and a half hours and 3 requests to receive 1 drinking glass for the bathroom It was cold in the night ,-0.296
71,Hotel Cavendish, unfortunately the bed was very uncomfortable the hotel is in much need of an overhaul and renovation The hall light shines into the bedrooms all through the night and the busy main road makes sleeping hard The outside noise isn t the hotels fault ,-0.8122
72,Hotel Cavendish, Room was cramped and sofa bed not good mold and missing tiles in bathroom and a half hour queue for toast cereals excepted so much more for the money paid,-0.5583
74,Hotel Cavendish, Room was dirty and extremly small Double bed means you can sleep with your partner only in 69 what we reported immediately after checking in they said the room will be changed to a bigger one in the morning but they didn t do it ,-0.2382
76,Hotel Cavendish, Bed was not even double size Mattress was with mountain in the middle we was sliding of it Water stains on the ceiling Shower head not fitting the handle Breakfast very poor We had view of a building site Stairs was so wonky we was afraid to step on it When my husband asks for water for the kettle he was sent to the kitchen with the finger point colect his on watter Very unpleasant experience,-0.7774
77,Hotel Cavendish, Worst hotel I have ever been The single room was so small that I could touch the walls with my open arms No forniture whatsoever no chair closet table In three days I was there the room was never tied up or cleaned towel never changed Breakfast was pretty bad just English breakfast and cereal with cold milk,-0.8316
78,Hotel Cavendish, Water pressure from taps was very low Wifi kept dropping off Basement room could hear water pipes draining from all floors above day and night ,-0.5563
79,Hotel Cavendish, With Shower head stuck up 2m high and no shower cups available it is impossible for a woman to have a shower Heating in the hotel was not working for 2 out our 4 nights,-0.4939
80,Hotel Cavendish, very uncomfortable room smallest I have ever been to Not clean the sheets were stained Room service did not clean the room Very cold the heater did not work at all Wifi was not available at all times I do not recommend Better conditions are offered in other hotels on the same street ,-0.8728
84,Hotel Cavendish, Asked for quiet room when booking but were given a room immediately next to breakfast room Awoken at 6am to sound of clanking pots and plates Also no milk for morning tea in room Asked receptionist for some and was told there wasn t anything available Never stayed anywhere that didn t have pots of uht milk or even coffee mate for tea coffee in room Also breakfast had no orange juice available asked waitress 3 times but kept forgetting to bring it out Will not stay here again ,-0.6808
87,Hotel Cavendish, The cleaners the hotel was non existent the shower had mould and dirt all over the tiles when having a wash in the sink the water is not going down the hole and raw sewage was coming up from the pipes not nice dust and dirt all over,-0.7296
88,Hotel Cavendish, 7 30 start to breakfast too late when working in London Room tiny Couldn t even sit on toilet as wall in front No light switch near bed Room scruffy,-0.296
89,Hotel Cavendish, Though the toilet shower was clean the tiles on the floor were damaged and loose Not good to walk on barefoot They could easily be repaired but looked to have been this way for quite sometime The additional single sofa bed made the room cramped when opened Could have done with a little more thought in the layout of furniture I was tempted to move things around myself The double bed was comfortable but my daughter had difficulty sleeping on the overly hard sofa bed ,-0.0008
90,Hotel Cavendish, Bathroom smelled of stale pipes,0
92,Hotel Cavendish, Bed was too small room too small no chair to sit on shower leaked into bathroom floor as door didn t seal Basement room meAnt no view for the 3 days we were there,-0.6908
93,Hotel Cavendish, Breakfast worst i have ever had they didnt understand english we came 5mins before the closure and they didnt give us breakfast Noise in the room Fire Alarm early morning woke up us and we didnt get any compensation ,-0.836
94,Hotel Cavendish, The room was tiny I had a single bed duvet on a double bed The water pressure volume flow was very little in the bathroom sink and shower No veggie English breakfast options No pastries for breakfast ,-0.6808
95,Hotel Cavendish, The whole section of the hotel we were in smelt of the bacon from breakfast permanently The ensuite had loose tiles on the floor the fan was so full of fluff it didn t work the shower was tiny We had to wait 20 minutes for a table for breakfast as there was no where near enough tables or staff ,-0.296
96,Hotel Cavendish, Stale smell throughout property Very dated and tired throughout Dirty lack of cleanliness Tiny bathroom Toilet was in the way of standing at the basin Shower curtain as old as me Basin so small you couldn t fill the kettle under the taps Windows dirty and paint peeling off Lovely view of scaffolding outside the window to our room Went down for breakfast the first morning no seats available Were told we had to wait until somebody finished their breakfast before we could have ours A lady in the kitchen was plating up breakfast using her fingers Picking up sausages and bacon with her bare hands We did not have the breakfast on the sat or sun of our stay for obvious reasons When we asked to see the management we were told he only works mon fri ,-0.8255
99,Hotel Cavendish, Ants in the room it had a door to the garden and I can only assume they were crawling in under it ,0
100,Hotel Cavendish, Room felt very dated and a bit old The sofa bed very very uncomfortable could do with a different matteress could feel springs Bathroom had mould on celing dirty in there ,-0.7245
101,Hotel Cavendish, See previous comment,0
102,Hotel Cavendish, Gower St can be noisy so possibly a problem if you have a room at the front of the hotel ,-0.5667
103,Hotel Cavendish, Outside Downstairs room looks up to pavement and out onto rotten boards and mop bucket was described double bed was 2 singles of different sizes pushed together kitchen other side of wall woken up during the night as staff had break and at 6 30 each morning room not well cleaned bed linen was clean Take care when using electrics as sockets are not in good condition ,-0.1581
105,Hotel Cavendish, The room we stayed in was a family room however the extra bed was a very uncomfortable sofa bed which when it was pulled out left NO ROOM in the bedroom the shower was less than adequate and the bathroom could do with a deep clean the towels were not changed nor beds made for the two days we stayed there Our room was in the basement which looked out onto a rather dirty back yard this room should not be used for paying guests ,-0.6602
106,Hotel Cavendish, Dirty furnishings loose toilet seat very poor customer service the staff were terrible Breakfast room in the basement with not enough seating Would not recommend to anyone,-0.9153
108,Hotel Cavendish, The hotel is filthy the bedding absolutely stunk of cigarette smoke The windows are broken 72 steps down then back up again to breakfast Would not recommend or return ,-0.7966
109,Hotel Cavendish, This is NOT a 4 stars hotel please review your classification Wooden floor under carpet just a bit noisy No good sofa bed for third person but we found the way to sleep First time in my life I have to pay when checking in,-0.2507
110,Hotel Cavendish, 3rd floor room no lift stairs narrow and sloppy not at all advisable to customer with luggage These information should be clear before booking Non complimetary whater available we had to ask Bathroom noisy every time you open tap or flush water a pump starts with noisy Room too small Bagage needed to be piled up Third bed not ready we asked to prepare it with some disconfort room too narrow Garbage bin not empty from previous customer I would not recomed this hotel ,-0.3649
111,Hotel Cavendish, Sofa bed was uncomfortable ,-0.3818
112,Hotel Cavendish, The hotel was way to hot Made sleeping very difficult also there was an old smoke smell to the room We had a triple room and the fold out bed was very uncomfortable ,-0.6894
113,Hotel Cavendish, This was not a 4 hotel and we were put in a basement room right by the breakfast room It was therefore dark small very basic and noisy in the morning ,-0.2415
114,Hotel Cavendish, Breakfast was awful greasy undercooked and burnt How Really run down in d cor Fire alarm went off at 4 30am and no apology from staff and no visible marshalls Had to clean bathroom before use ,-0.7542
116,Hotel Cavendish, The breakfast was a disappointment First morning we had to wait to get a table And in two days we never got the right things that we orderd One morning at 8 00 the beans was not ready the breakfast starts at 7 30 The other days we went out to eat our breakfast ,-0.6608
117,Hotel Cavendish, There was a fire alarm from 5 am to 7 am on two consecutive mornings No one checked whether I was alive or dead and when I asked to speak to a manager on checking out to sort out a refund I was told to be quiet by an insensitive and unprofessional young man whilst his colleague laughed and agreed with me that he was not in a position to tell me to be quiet 4 days later I have still heard nothing from them about any recompense and I am disgusted with their customer service ,-0.9042
121,Hotel Cavendish, we booked Triple room but there are a big double bed and a sofa which is uncomfortable so much so we had to sleep all togather in double bed also hotel was crazy extremly hot ,-0.7579
123,Hotel Cavendish, The bathroom was disgusting and smelt of damp the door squeked and the floor tiles were cracked and harbouring all sorts of I don t know what ,-0.5267
124,Hotel Cavendish, If you are travelling alone the single rooms will fall short of your expectation The rooms are very small and claustrophobic Beds are pushed up against windows with terrible drafts I had to use my clothes to seal window and a suitcase to protect myself from draft Very uncomfortable When asked to change to another room the same situation ,-0.659
125,Hotel Cavendish, Shower in cabin room tad small No soap holder Overall maybe a little updated decorating ,-0.296
127,Hotel Cavendish, Quite noisy people banging doors late at night Coffee tea etc not always replaced daily nor cup and saucer washed ,-0.2484
128,Hotel Cavendish, Breakfast was small and the waitress got our order wrong ,-0.4767
129,Hotel Cavendish, The kettle didn t work properly and the tea coffee facilities lacked milk Bed was a bit hard ,-0.1027
132,Hotel Cavendish, I can t really fault anything though a cup of Earl Grey would have earned an extra point for breakfast ,-0.4201
133,Hotel Cavendish, The late shift guys at the desk had no clue about anything Could not even show me how to operate the safe in my room as there were no instructions ,-0.128
134,Hotel Cavendish, The shower has some grime in it however I could still wash ,-0.3612
136,Hotel Cavendish, The cleaning in the shower room was disgusting The windows in the room are single glass so you eart the noise outside ,-0.5267
139,Hotel Cavendish, When we arrived and got our room it was a big chunk of hair in the shower I went to the reception and told them this and they said they would arrange it It was in the shower during out whole stay Room wasnt very clean either and we found hair basicly everywhere They could use a vacuumcleaner During our stay they only cleaned the room once Wifi really bad to Sometimes it worked and sometimes not and when it worked it was very slow ,-0.7405
140,Hotel Cavendish, It is listed as a 4 star hotel which it isn t There is no lift which isn t mention and there is noone to help drag the cases up one or two flights of stairs Bathroom facilities ridiculous room small and squashed,-0.4404
143,Hotel Cavendish, No lift And no lactose free milk for lactose infolerant people ,-0.7271
144,Hotel Cavendish, Everything check out the photos ,0
145,Hotel Cavendish, Rooms a bit small and only showers no bath,-0.296
146,Hotel Cavendish, Avoid front rooms due to noise on Gower street WiFi stopped working ,-0.4767
147,Hotel Cavendish, It looked like there was no hot water in the shower when I arrived day time Single room was tiny I couldn t open my suitcase properly It was quite cold in the room due to the windows being badly sealed radiators were quite warm there was a lot of dust under the furniture,-0.1548
148,Hotel Cavendish, There was a water tank above our bedroom LG4 which had running water all night long It only stopped every so often as it seemed to be emptying and refilling As soon as the water was being used in the morning it stopped running the water It did keep us awake quite a bit ,-0.5267
149,Hotel Cavendish, I booked a single cabin room and what I got were two tiny closets one the bathroom one the bedroom connected by a tiny entry hall Smaller than expected but manageable However The bathroom had no heat source and direct access through the ventilation fan to the outside The radiator in the bedroom couldn t compete with the cold air coming in through the poorly sealed window Because of these things the bathroom was absolutely freezing and the bedroom was quite cold The sink in the bathroom was clogged it would fill almost completely every time I used it and then take several minutes to drain I complained about it twice to no avail although I was told the second time that the man looked at it and found a small cap from toothpaste or similar inside It continued to be a problem I gave up on complaining The bathroom walls and ceiling had visible mold and the ceiling was covered in droplets of condensation that would occasionally unexpectedly fall as little icy surprises The lamp in the bedroom though unnecessary was visibly broken There was only one outlet in the whole of the room behind the door and I had to move the table to it in order to plug in and use the kettle which was filthy when I arrived The wardrobe contained only two hangers making unpacking impossible Living out of a suitcase in such a tiny space was difficult to say the least The wifi connection was terrible or non existent throughout my stay When I asked about the poor quality of the connection it was suggested that I try connecting to the password free wifi of the hotel next door ,-0.9729
150,Hotel Cavendish, well the room was not very clean bed was not comfortable the room didnt have glasses for a drink one bin which was in toilet very small the tv wouldnt turn off was locked out of room cos the batteries on the door didnt work for 2 days was not worth the money wouldnt stay there again ,-0.5779
153,Hotel Cavendish, No lift no one to pick or bring down the luggage breakfast was average toilet was small carpets were dirty,-0.4959
154,Hotel Cavendish, 1 The extra bed was not very comfortable 2 The breakfast room was too small we have to wait for a table 3 Nothing in the bedroom to put our stuff on same thing on the bathroom,-0.4439
157,Hotel Cavendish, For some reason on the second day the time of the breakfast changed without anybody letting us know Not ideal for our planning ,-0.4168
159,Hotel Cavendish, wifi was unacceptably bad Couldn t really use it Moved rooms but it did not help For someone here on business staying for over a week this is a major issue Would stay again if this was sorted,-0.6294
160,Hotel Cavendish, Door facing towards outside had a gap so it was quite drafty through the hole It was ground floor si the room had two doors one on the hall and the other one with the gap ,0
161,Hotel Cavendish, The room was so small like a prison cell which overlooked anunmainfained back garden The shows was dirty and the hotel decor was off poor quality The hotel smelt like stale cigarettes too,-0.6275
163,Hotel Cavendish, The shower head was broken no toiletries amd had to wait for a table at breakfast,-0.6486
164,Hotel Cavendish, Room was a bit smelly and very small but we didn t really spend a lot of time in the room so wasn t a big issue ,0
166,Hotel Cavendish, The room was in need of some modernisation and was very small the hall carpets had holes in it the bathroom had mould on the tiles this was not a four star hotel moor like a cheap b b very disappointing we will not be going back ,-0.2484
167,Hotel Cavendish, We were a group of 20 colleagues We had booked a few single rooms and a few double rooms but unfortunately we didn t notice that those double rooms also had double beds I noticed one week before arrival and so I immediately called the hotel The receptionist was very relaxed and told me to call back one day before arrival he would sort everything out I arrived one day before arrival of the group and headed straight to the hotel Nothing was arranged the same guy told me to check on arrival the next day When we arrived the next day it was another receptionist who wasn t informed at all I explained everything again and gave him our rooming list so he could prepare everything for when we would check in late in the evening Finally when we arrived another receptionist was not informed So I had to explain everything again for the 4th time We spent 30 minutes after a very long day to sort out all the rooms Not professional at all The breakfast was not that great either It was very dark in the room as the lights were broken I ordered scrambled eggs and had fried eggs luckily this was replaced immediately Not much bread available only toast The shower was verrry cold and then semi hot and then freezing cold again ,-0.1905
168,Hotel Cavendish, Drafty window,0
169,Hotel Cavendish, Very old fixed shower unit needs upgrading Two single beds to make a double very uncomfortable No rubbish bin in room No glasses provided in room ,-0.763
170,Hotel Cavendish, Plates were not clean enough during the breakfast Also I was staying in a small room which was fine but the only place where I could hang my jacket was the bathroom or put on the floor ,-0.059
171,Hotel Cavendish, Dirty needs repair breakfast room was a poorly decorated greasy spoon affair with plastic table cloth ,-0.4404
172,Hotel Cavendish, Service at breakfast was incredibly poor Completely ignored for 10 minutes whilst other people were acknowledged and had drinks made for them We got our own tea in the end and waited to try and order breakfast Again other people who arrived after us managed to be served and order their breakfast Finally our invisibility seemed to go and we ordered our food which unfortunately was then wrong even after repeating it to two separate people One spoke better English but seemingly scrambled egg on toast is a difficult request I d recommend skipping breakfast and going somewhere with staff who know about customer service ,-0.6026
173,Hotel Cavendish, Bedroom was above the breakfast area the stench of egg for the whole 3x days ruined the experience I booked the room on booking com but emailed the hotel as instructed by the front desk to request that they charge the credit card given to take my email as authorisation This was ignored and resulted in the guests paying out of their own pocket which was not my request ,-0.4118
174,Hotel Cavendish, Photos in no way relate to the quality of the room Some of the staff spoke very little English Bathroom smelt disgusting Window failed to stay open Room had a double bed shoe horned in Not worth the money paid for this room ,-0.8613
175,Hotel Cavendish, Coldest tiniest room I ve ever stayed in my life No extra blanket was given ,-0.296
177,Hotel Cavendish, Single rooms are tiny Bathrooms are very small,0
178,Hotel Cavendish, The building contents are a bit shabby worn ,-0.296
180,Hotel Cavendish, such a costly and apparently a 4 star hotel worst hotel I have ever stayed narrow room no facilities breakfast was also not good should not cost that much for such a service and type of rooms in this hotel will never go there photos in booking com for this hotel are really misleading ,-0.9022
181,Hotel Cavendish, Tired rooms and the breakfast was very small but very tasty We were in the lower ground rooms and there was loads of road noise due to no double glazing plus the actual windows rattled in the frames when anything went by Shower was little more than a trickle in one room the TVs were ancient and the remotes didn t work very well In my opinion it s a 50 room not the 125 we spent each It would have loads of potential they need to invest It was OK for a quick overnight stay but one poor nights sleep was enough for us ,-0.5734
183,Hotel Cavendish, Breakfast room was small and we had to wait a while for a table Hotel layout was odd confusing ,-0.4939
185,Hotel Cavendish, The hotel is very dated and common areas including stairways require attention Layout of hotel made it difficult to navigate ,-0.3612
186,Hotel Cavendish, Bedroom was like a single room bed was tiny Breakfast was not at 6 30 but 7 30 so we missed out altogether Staff were not interested when we questioned both ,-0.7144
187,Hotel Cavendish, The hotel was more of a guest house Room was small and decor a little dull tired ,-0.616
188,Hotel Cavendish, TV didn t work 1st day told the engineer would come the next day Told the same again the following day 1st night the window wouldn t close And as we faced the street was noisy Second night it was closed and couldn t be opened The shower was grubby Coffee in the room was foul,-0.1779
189,Hotel Cavendish, Incompetent porter unavailable to supply a 3 duve for the 3rd bed in a booked 3 bed room one guest had to use a sheet Also the third bed was the worst bed ever with springs sticking up your bag And finally the room was very small in the basement and next to the kitchen with the noise and smells you would expect And as we were forced to pay for two nights over weekend even we only needed one it was not because it was cheap One hotel I need not to see again ,-0.891
190,Hotel Cavendish, Entrance to rooms is going into stairs then opening doors while holding the luggage needed a health and safety risk assessment single room is too small no housekeeper after 6 pm ,-0.128
191,Hotel Cavendish, The room was not nice at all it had nothing to do with the photos the floor on the bathroom was broken there were doing constructions outside the window and it was noisy we had booked a three bed room and they gave us a room with one double bed and a couch where 3 people could hardly fit in The staff was ignorant seemed very bored with their work We thanked them in the end for the accommodation and they were too busy with their papers to say at least thank you for staying with us such a disappointment ,-0.7444
192,Hotel Cavendish, Of course the room was very tiny I couldn t afford a larger one That makes it difficult to stay for an extended period of time ,-0.3612
195,Hotel Cavendish, No cups or glasses in room although plenty of coffee and teas and biscuits No iron ,-0.4767
