Hotel_Name,Positive_Review
Hotel Cavendish, Breakfast The breakfast was very good Full English breakfast eggs at our own likings beans bacon sausage tomato coffee tea toasts jams There s also options for cereals n some fruits n juices Location The location was very good Close distance to all the major tube stations Warren St Station Euston Sq Station and Euston Railway St It s also about 15min walk to this one intersection where there s a lot of good food we ate at Kanada Ya Ramen Bar highly recommended if you like asian noodle soup It s about 10 15min walk from British Museum The bus stop across the street also goes to Trafalgar Sq which we took to get amazing deal on the Lion King Show Staffs The staff made were nice we arrived around 10pm he saw that I was pregnant so he switched us into a bigger room Rooms They clean the room everyday make bed replace towels There s also kettle n tea coffee in the room n some crackers which I believe they were complimentary 
Hotel Cavendish, good location but otherwise not recommendable 
Hotel Cavendish, The recepcionist are ok
Hotel Cavendish, Staff were helpful The hotel has all the basics that are needed It is a bit worn looking so if you need updated this may not be for you The English Breakfast was wonderful eggs to order Location was convenient to British Museum and other attractions all within a 20 min walk 
Hotel Cavendish, Location of the property was good close to transport links Room was comfortable and just what was needed for our stay 
Hotel Cavendish, The location of this property is great It s convenient to St Pancras Station the British Library the British Museum and many other delights of Bloomsbury For a short stay in which you plan to be out sightseeing all day and evening and only need a place to sleep at night the Hotel Cavendish would be a good base One advantage it has over some of the other Gower Street hotels is that the windows are double paned so that the street noise was reduced There was also a fan in the room which was useful because the room was very close and stuffy The wireless was speedier and more reliable than some other budget hotels I ve stayed in There was very little noise audible through the walls which was a relief as this is sometimes a problem in these older hotels 
Hotel Cavendish, Good location English breakfast which was very nice Complimentary coffee tea and cookies in the room Friendly staff Wireless Lan was excellent there are routers on every floor and it was very stable 
Hotel Cavendish, No croissants available at breakfast
Hotel Cavendish,No Positive
Hotel Cavendish, Nothing
Hotel Cavendish, Bed comfy and clean Great location 
Hotel Cavendish, Very friendly staff and the girls at breakfast worked quickly and efficiently Good sized room with big bed and comfy sofa Shower room small but good powerful shower 
Hotel Cavendish, Please make yourself a favor and avoid The photos on booking com has nothing to do with this hotel Old building v small rooms shower not working properly phone in the room not working it was hot in London those days And you could not open the windows very noisy street and rooms are not isolated the TV is old as well On top of that it is not cheap I booked this hotel in a rush and it was a big mistake Never again I believe a lot of hotels in London should be reported They are advertised as 3 or 4 stars and they do not deserve even a star 
Hotel Cavendish, Located near Oxford str 
Hotel Cavendish, Location Close yo theatre land about a 10 minute walk Choose a different hotel in this area 
Hotel Cavendish, location was good staff reasonably helpful 
Hotel Cavendish, Great location room okay size Nice double bed A little out dated but great value for money Room was very quiet and nice temperature Breakfast nothing special but filling Small english breakfast with your choice of eggs Breakfast room small but we never had to wait for than two minutes Just a short walk to Oxford Street and everything London has to offer 
Hotel Cavendish, Free wifi
Hotel Cavendish, Horrible place Sorry and ran down Really poor experience for a 3 star as advertised
Hotel Cavendish, Fantastic area very central Good tube links Polite staff 
Hotel Cavendish, Location Nice staff 
Hotel Cavendish, Only the position of the hotel 
Hotel Cavendish, Great little place to stay at a fraction of the cost of other hotels we have used in london we stayed for 2 nights and have nothing bad to say comfy bed free wifi and a good little english breakfast Very happy and helpful staff 
Hotel Cavendish, Room was spacious and clean Beds comfortable Got a kingsize and a double bed which was better than expected We thought a double bed and a single Room was for myself my daughter and my niece Shower room toilet was clean although shower curtain a bit grubby looking Clean towels each day and top up of tea coffee Would stay again as nothing was very bad All in all a pleasant stay 
Hotel Cavendish, Being moved to the room I booked on the second night Breakfast very good 
Hotel Cavendish, The room was comfortable for our stay Clean and modern Reception staff were friendly and helpful 
Hotel Cavendish, The hotel was located 5 minutes away from Euston station in a quiet and peaceful area quite close to a number of different amenities The breakfast was acceptable The receptionist Patel was exceptionally helpful and friendly 
Hotel Cavendish, Nothing
Hotel Cavendish, Breakfast was way above the low standard of the hotel 
Hotel Cavendish, The staff were polite The breakfast excellent for the start of the day The hotel was central and reasonably priced for what we wanted Would definitely use this hotel again Hoping to go bk in November its not luxury but it is clean and comfortable 
Hotel Cavendish, I needed accommodation at very short notice and they had a room available It was described as a cabin and that is a fair description of the smallest room I ve had since a school trip ferry to Gothenburg 
Hotel Cavendish,No Positive
Hotel Cavendish, Good freshly cooked breakfast with choice of items Perfect location for British Museum public transport including Piccadilly Line direct from Heathrow and both West End and City East End 
Hotel Cavendish, The breakfast at the hotel was fine The location was great as your not far from a lot of attractions and links around London The hotel staff were very nice and extremely helpful 
Hotel Cavendish, Nice area
Hotel Cavendish, Comfortable beds Friendly staff Small rooms and bathroom Not a WOW factor Close to the british museum OK breakfast 
Hotel Cavendish, Location was good they changed the towels everyday 
Hotel Cavendish, Location was good near to Euston station Good breakfast served promptly and with a smile
Hotel Cavendish, No bad location 
Hotel Cavendish, The location was quite convenient
Hotel Cavendish, Great location Breakfast was tasty
Hotel Cavendish,No Positive
Hotel Cavendish, very close to the city walking distance
Hotel Cavendish, I had a tiny cabin room but the layout was great it was very clean and despite size very comfortable I thought it d be windowless but it had a window The bed is single size Great value for money The location is amazing 
Hotel Cavendish, My first experience of a cabin bedroom in London that actually worked Well laid out with everything you need including a decent hairdryer Reception and breakfast room staff were pleasant and helpful Good freshly cooked breakfast items A good location for my meeting and British Museum exhibition Lovely hot shower 
Hotel Cavendish, The location was ideal for us The beds were comfortable 
Hotel Cavendish, Bed comfortable Shower good and hot 
Hotel Cavendish, The bed and sofa were very comfortable and the location was super 
Hotel Cavendish, Very light scrambled eggs Friendly staff Good location
Hotel Cavendish, Bed was good
Hotel Cavendish, Breakfast good
Hotel Cavendish, The room was adequate and clean for a one night stay 
Hotel Cavendish, Room was nice and big for a London hotel friendly and helpful staff location was very handy for access to town centre by foot or tube 
Hotel Cavendish, It was near my venue for the next day The bed was very comfortable The staff exceptionally pleasant and helpful Breakfast ample and good choice My room was clean and I had a good TV 
Hotel Cavendish, Friendly staff lovely breakfast perfect location 
Hotel Cavendish, I liked the location and staff on the reception 
Hotel Cavendish, Reception desk staff were lovely polite and credit to the hotel Good location
Hotel Cavendish, Good location
Hotel Cavendish, NOTHING
Hotel Cavendish, good location reasonably priced The staff were friendly Breakfast was very good Really liked that if you are a coffee drinker you got a pot of coffee and not just a mug like some places Room was small but what do you expect when you book a cabin room 
Hotel Cavendish, Short walk to tube buses and boris bikes Great location though we walked from hotel to London eye and going the other way as far as Camden Market Only 35mins walk Room was a decent size considering the price and location Expected a box room but was more than comfortable size 
Hotel Cavendish, Location and small and intimate other than the ants was clean and comfortable
Hotel Cavendish, The breakfast was lovely love the scrambled eggs
Hotel Cavendish, With a little bit of upkeep of the property example whitewash of walls doors of rooms need to be looked into safe in room in wardrobe but on the floor so it is difficult to operate these little things that matter and they could easily be done Otherwise we a very good time Rooms clean staff helpful b fast good 
Hotel Cavendish, All good room clean and comfortable I might make this my London base Close to Goodge St on Northern line 
Hotel Cavendish, The location is perfect for attractions Underground is close Staff are very friendly and helpful 
Hotel Cavendish, Quiet house cheerful friendly staff very good breakfast very reasonable price convenient for the University and British Museum 
Hotel Cavendish, The breakfast was good good choice for continental if not a bit basic the cooked breakfast was fresh and very tasty 
Hotel Cavendish, The location close to the theatre we were visiting
Hotel Cavendish, Location
Hotel Cavendish, Nothing
Hotel Cavendish, Friendly staff very good location just a few minutes walking of the British museum good English breakfast At the end of February and no need for heating but was cold outside No traffic sounds at the back of the building WiFi Ok
Hotel Cavendish,No Positive
Hotel Cavendish, It was reasonably priced in a good location Quieter than expected Clean and comfortable but not luxurious Ideal just to sleep and breakfast before more sightseeing 
Hotel Cavendish, The hotel was very central and area was good would recommend for ease of walking around the city centre Great that there was cover on reception 24 hours 
Hotel Cavendish, The breakfast was ordered from us and served very quickly 
Hotel Cavendish, The curtains were nice 
Hotel Cavendish, Location to Euston station is good and breakfast selection was ok 
Hotel Cavendish, The Staff was very friendly The room was warm and Nice The location is very good In just a few minutes you ll be in Oxford Street or the brittish museum And there is a lot of restaurants very near the hotel They let us keep the luggage in the reception our last day that was very good 
Hotel Cavendish,No Positive
Hotel Cavendish, We were allowed to leave our things before checking in however this felt unsafe Not locked away or marked with our names or anything 
Hotel Cavendish, Staff is helpful and very friendly Location is excellent Breakfast is good 
Hotel Cavendish, Breakfast okay everything else very poor 
Hotel Cavendish, hotel workers were good and helpfull location is definatelyy perfect 
Hotel Cavendish, The room was clean and no smell at all I really appreciated the free water bottle waiting for me Full English breakfast was included and is was very quick and lovely
Hotel Cavendish, the location and the price
Hotel Cavendish, Very friendly staff 
Hotel Cavendish, Breakfast ready before first sip of coffee Friendly staff Clean tidy 
Hotel Cavendish, Bed was ridiculously comfortable and the shower was fantastic Breakfast facilities were excellent with prompt and attentive service
Hotel Cavendish, Breakfast very good friendly efficient staff Good choiceof menu Reception staff friendly and helpful Only 5 mins walk from Euston Square Tube Station Single room I was in adequate though bit on the drab side
Hotel Cavendish, The staff were very friendly and kind Room was great had everything we needed Great location for theatre goers 
Hotel Cavendish, Good breakfast freshly cooked Staff very friendly 
Hotel Cavendish, Perfect location I had to travel around London for meetings in different places the perfect location of the hotel allowed me to easily commute with the tube and on foot 
Hotel Cavendish, Location is superbly central and allows easy access to all attractions 
Hotel Cavendish, The hotel was warm with good Wifi close enough to Euston and close to a tube station Very good value for money 
Hotel Cavendish, There was one particular guy at the desk during the day who was very helpful and patient
Hotel Cavendish, The room and the bed were really nice Had a little TV It was lovely that I could walk to Camden market or to the city centre from the hotel as you were so close I everything I managed to walk 15k when I stayed here Brilliant
Hotel Cavendish, For 75 b b can t really complain although room was little more than a cupboard Room was warm enough and generally clean The staff were friendly The breakfast was perfectly adequate 
Hotel Cavendish, The staff in the restaurant are really kind 
Hotel Cavendish, The staff were very friendly and helpful Breakfast was very good plenty of choices The bed was very comfy The bathroom was small but had everything you needed and was clean It was in a good area for the underground and quite a few of the tourist attractions I would definitely go and stay there again 
Hotel Cavendish,No Positive
Hotel Cavendish,No Positive
Hotel Cavendish, The staff were very friendly and helpful Breakfast was good 
Hotel Cavendish, The breakfast it was ok 
Hotel Cavendish, Not a 4 Star Hotel 3 at best But a good price for a great location so would recommend as bed was comfy 
Hotel Cavendish, Very clean room Very central few mins walk from oxford street Very good for the money paid 
Hotel Cavendish, Nothing Dirty Rude staff No customer service I rate this as a one star NOT a four star Don t waste your money awful 
Hotel Cavendish, Very easy travelling from kings cross and well situated close to the underground but easy to get a taxi also staff very helpful 
Hotel Cavendish, Friendly staff Good breakfast Very clean and good bathroom for size of the room 
Hotel Cavendish, Reception staff was friendly Very close to UCL Kings Cross Oxford street and Covent Garden Bed was quite comfy I could leave my luggage after checking out Good that breakfast was included
Hotel Cavendish, The room was good and comfortable Staff were friendly and helpful 
Hotel Cavendish, The location was great walking distance to Goodge Street tube station under 5 minutes Russell Square tube station about 10 minutes and the heart of the theatre district 15 minutes Breakfast was nice full English breakfast available and made to order as well as a selection of cereals yogurt and fruit The room was incredibly quiet I heard no noise from the stairway other rooms or the garden 
Hotel Cavendish, well the hotel was close to everything 
Hotel Cavendish, friendly staff room size for a city centre hotel of this size was larger than expected staff happy to look after bags before and after use of room 
Hotel Cavendish, Nothing 
Hotel Cavendish, Bed was good staff and location was good
Hotel Cavendish, 1 The location is very central Oxford St British museum lots of buses to go elsewhere 2 It is possible to leave the luggages at the frontdesk on the day of departure without any fee 3 Calm bedroom we were on the 2nd floor view on the garden and warm room
Hotel Cavendish, We booked a double room hiwever bed was a little bit bigger than songle Room very small
Hotel Cavendish, The staff were helpful particularly on arrival Breakfasts were good and freshly cooked In terms of London prices it was fairly good vfm 
Hotel Cavendish, Excellent location close to all public transport the British Museum and the shopping area Good breakfast it was good but not big 
Hotel Cavendish, great english breakfast nice hot water absolutely perfect location for sightseeing
Hotel Cavendish, Great location clean rooms
Hotel Cavendish, Breakfast was ok 
Hotel Cavendish, The location And the staff were friendly
Hotel Cavendish, This hotel is located in a cozy and quiet place Breakfast was just ok 
Hotel Cavendish, Location perfect and having paid 75 for a night it was very good value
Hotel Cavendish, Excellent location and breakfast every morning 
Hotel Cavendish, If there s anything good its probably the receptionist Tough to be working in such a strenous condition and still greet people with a smile 
Hotel Cavendish, Very small 
Hotel Cavendish, The rooms were ok
Hotel Cavendish, Great freshly cooked breakfast great location in central London Cabin rooms are what they say small rooms Only downside is the window is not double glazed so bit drafty ok in these warmer days 
Hotel Cavendish, Good room size on quiet side of hotel Excellent breakfast 
Hotel Cavendish,No Positive
Hotel Cavendish, Plus point it s in London with friendly staff 
Hotel Cavendish, Location was really good The man on arrival was really friendly and helpful The room was basic but comfortable It was a different man when we left who was just ok barely glanced our way Praise goes to the check in man the comfort of the bed and the location 
Hotel Cavendish,No Positive
Hotel Cavendish, Leaving 
Hotel Cavendish, Room was extremely cold asked for blanket and was given a bed sheet that wasn t helpful Wifi never worked in room and both rooms they did change me to an equally cold room were not properly cleaned 
Hotel Cavendish, Staff The receptionist was extremely nice and helpful Location Descent location close to underground and basically in the heart of London with many youngsters around university nearby 
Hotel Cavendish, Very nice staff both at the reception and in the kitchen Very good localisation in the heart of London Decent internet speed in WiFi
Hotel Cavendish, Basic accommodation but in an excellent location Clean Staff were friendly helpful Facilities were adequate for needs on this occasion 
Hotel Cavendish,No Positive
Hotel Cavendish, nothing
Hotel Cavendish,No Positive
Hotel Cavendish, The staff were very pleasant and the hotel is nicely decorated 
Hotel Cavendish, Location was excellent Breakfast and staff were very good Room was spacious and warm Bed was comfortable 
Hotel Cavendish, I really loved this hotel the staff were incredibly welcoming helpful and kind I had a tiny but perfectly formed room the location was amazing and breakfast was really very good All in all it was excellent value and I will be returning 
Hotel Cavendish, Staff were friendly and wifi was efficient 
Hotel Cavendish, Close to Euston and UCL hospital which was the reason for our visit 
Hotel Cavendish, Good location Easy short walk to Euston Station Oxford St British Museum Covent Gardens Madamme Tussauds etc 
Hotel Cavendish, The hotel was convenient for Euston The room and the bed were nice The biscuits were nice The tea was fine Good WIFI
Hotel Cavendish, Location 
Hotel Cavendish,No Positive
Hotel Cavendish, only the location and the breakfast
Hotel Cavendish, Great breakfasts Location was fantastic for me 
Hotel Cavendish, For 95 I expected at least a wardrobe It was detailed as a cabin room but small size not stated Got upgrade ok but others need to be aware of this in room description
Hotel Cavendish, It was in a good locations braskfast was fine 
Hotel Cavendish, Really friendly staff who gave a very warm welcome and were really helpful 
Hotel Cavendish, Tiny room which I expected I was very impressed by the facilities in it and the layout Clean and comfortable Nice hot shower Nice welcome from reception 
Hotel Cavendish, Breakfast is quite nice Location is easy for getting around Some of hotel staff are nice however some are not 
Hotel Cavendish, the staff were very friendly and the reception staff were so helpful with everything the room was clean and we had maid service which we weren t expecting but she had tidied all our stuff breakfast was good and plenty of choice to fill up ready for our day we will defo return 
Hotel Cavendish, location
Hotel Cavendish, The location was excellent the breakfast was good and the staff were very friendly 
Hotel Cavendish, Good value for money Friendly staff 
Hotel Cavendish, Great location very central for theatre or sightseeing
Hotel Cavendish, Room was really tidy and bright and being provided with a lot of towels was helpful Staff were quick to serve us at breakfast 
Hotel Cavendish, Location was close to underground
Hotel Cavendish, Location was great Checking in and out worked perfectly 
Hotel Cavendish, Nice bed nice room in general Also they let us leave our bags there after checkout until it was our flight time We left our bags there for an entire afternoon after checkout 
Hotel Cavendish, Location
Hotel Cavendish, the location
Hotel Cavendish, Nice staff Good location I have read the negative comments of others and think that many are unfair It is a reasonably priced central London hotel The room was not huge but it was clean comfortable and well furnished The breakfast was quick and tasty 
Hotel Cavendish, Location 
Hotel Cavendish, At 205 00 per night I would want something a big bigger and better
Hotel Cavendish, Room was adequate Location was superb for British Museum 
Hotel Cavendish, The location is pretty brilliant if you have reason to be around the Bloomsbury Tottenham Court Road area also Euston King s Cross are close as is Oxford Circus Breakfast was fine if not extraordinary I haven t tried the cooked full English one though Staff were all friendly 
Hotel Cavendish,No Positive
Hotel Cavendish, Not a lot frankly
Hotel Cavendish, We were given a map of the city by the reception It saved us 20 on all the meals that we ate in the city The same off the entry to Kew gardens 
Hotel Cavendish, There is nothing to like about this hotel except for its proximity to the British Museum 
Hotel Cavendish,No Positive
Hotel Cavendish, Breakfast was limited if you didn t want a cooked breakfast no pastries 
Hotel Cavendish, Although on the small side the room was sufficient for my needs Can t comment on the breakfast as I did not partake 
Hotel Cavendish, The location is great near Oxford Street that s why the quality price ratio is good 
Hotel Cavendish, Breakfast good
Hotel Cavendish, Quick service and staff very pleasant
Hotel Cavendish, The new guy on staff started September 2016 was super friendly and really helpful 
Hotel Cavendish, The room was a good size and reception staff very friendly
Hotel Cavendish, excellent staff Rooms very tidy Breakfast room staff very pleasant and accomodating Hotel in good position for transport and sightseeing certainly value for money 
Hotel Cavendish, Nice staff Handy location for theatre and tube stations Good price I didn t expect the Ritz so that was ok Budget room was handy floor didn t look too clean Bathroom v cramped Ok fir solo tho 
Hotel Cavendish, Location was good 
Hotel Cavendish, The location was well situated for The Theatre It was near a tube stop and the breakfast was delicious
Hotel Cavendish, Nice breakfast
Hotel Cavendish, Location is superb but room is cramped That suited me as I needed somewhere to sleep Price is very competitive and fair
Hotel Cavendish, Excellant location right on top of Russell Sq and Tott Court Rd and tube stations with loads of pubs near by Bed was comfy and the room was spacous 
Hotel Cavendish, Staff were very obliging and the location is excellent 
Hotel Cavendish, Tea and coffee making facilities and a complimentary bottle of water in room Safe available Iron available 
Hotel Cavendish, The location
Hotel Cavendish, First room allocated was very small with small double bed pushed against wall We put up with it 1 night but asked for another room for 2nd which they gave us Breakfast was good and staff friendly 
Hotel Cavendish, The location was great and staff were helpful 
Hotel Cavendish, What croissants However breakfast and breakfast staff were fine 
Hotel Cavendish, Location near two underground stations Breakfast staff was nice and attentive to requests and needs Hotel staff were accommodating to the best of their ability Complementary water bottles offered each day 
Hotel Cavendish, The Location was truly excellent for the price and the view out the window was so green it was easy to forget you were in the heart of London 
Hotel Cavendish, location was great as needed overnight between Euston and Portland Place Breakfast great full English plus good choice of fruits etc Nice student I assume breakfast staff
Hotel Cavendish, Nothing The hotel was awful and not what was advertised The family room was tiny and disgusting damp patches and paint peeling off walls and ceiling the furniture was falling apart and all marked As for the bathroom Well it badly needed upgrading I would seriously look at your 4 rating for this hotel because in our opinion a 2 is being generous
Hotel Cavendish, Location Welcoming staff Good english breakfast Beds were comfy 
Hotel Cavendish, Location was brilliant
Hotel Cavendish, Nothing about this overpriced parody of a hotel Overpriced neglected tired cold Availability at the last moment But felt like the last chance saloon
Hotel Cavendish, Good location great price and rooms were small but comfortable quick and easy check in out friendly staff Suitable for short stays would stay there again 
Hotel Cavendish, Nil Actually this hotel set me thinking why we need so much space in our rooms
Hotel Cavendish, Great selection 
Hotel Cavendish, Nice bed it was made very tight though so when I pulled the duvet off almost everything came with it Bathroom was ok Short walk to Euston train station and shorter one to Euston Square underground Breakfast was more than adequate and the breakfast staff staff were lovely 
Hotel Cavendish, staff were pleasant and helpful we arrived early so left our bags for the day before returning to check in on day of departure we kept our bags at reception after check out whilst sight seeing again returning later in the evening to collect that was not a problem so was very appreciated room was clean tidy for 1 adult and 2 children it was small but it was adequate for our 2 night stay I would say it would have been better for just a single or couple though Breakfast was nice just the basics the girls working were friendly and attentive to guests coming into the b fast room 
Hotel Cavendish, Good breakfast central location 
Hotel Cavendish, The staff was very friendly The room was nice and clean Very good location with several metro stations nearby 
Hotel Cavendish, We were allowed to leave our cases in the lobby before check in and after check out Bathroom was very good in terms of function cleanliness and supplies
Hotel Cavendish, A pleasant and comfortable room even though it was in the basement and on the noisy road side Convenient to be right next to the breakfast room The staff at Reception and for the two breakfasts we had in the hotel were friendly and obliging The best thing about this hotel was its location walking distance from British Museum London University buildings and 2 tube stations with an excellent branch of Waterstones just across the road 
Hotel Cavendish,No Positive
Hotel Cavendish, The hotel was in a great location right near both Goodge Street and Russell Square station The breakfast was good at the girls at breakfast were very helpful The rooms were made up daily 
Hotel Cavendish, Great location approx 30 mins walk slowly from all the theatres and Trafalgar Square 5 mins walk from Goodge Street tube station 
Hotel Cavendish,No Positive
Hotel Cavendish, Gentleman on reception when we arrived was so helpful He rearranged rooms so that the least mobile in our party were on the ground floor he helped us with places we wanted to visit and even walked halfway doen the street to hail us a cab The rooms were lovely and a great breakfast 
Hotel Cavendish, Bedroom was a reasonable size not sure it was big enough for a triple room though a very tight squeeze 
Hotel Cavendish, The staff was so helpful 
Hotel Cavendish, The Service was horrible Service desk seemed upset when you asked questions Wifi was slow and Bering was horrible I had to purchase pillows at a local department store just to manage my stay 
Hotel Cavendish, The breakfast was generous and good The location is excellent 
Hotel Cavendish, Ideal location within walking distance to tube stations shopping streets and many major museums Decent breakfast some plain yoghurt would have been nice with the cereal on offer but the full English breakfast and or bacon eggs are good Easy to leave and collect luggage 
Hotel Cavendish, Nice selection at breakfast Very good location Clean Room only made up for two teacups etc but gentleman on front desk who checked us in was very obliging with this 
Hotel Cavendish, This is a good basic hotel in a great location and a good price The staff are lovely
Hotel Cavendish, The location is great Central London on your doorstep Fabulous
Hotel Cavendish, Lovely breakfast Bed comfortable Close to stations
Hotel Cavendish, Quite close to London st Pancras and not too fat to walk to Covent Garden and Westminster Breakfast OK but portions small
Hotel Cavendish, It s London You ll overpay for crappy hotels But you can do a little better than this if you take the time to look 
Hotel Cavendish, Breakfast was good but a bit rushed
Hotel Cavendish, Good location clean and lovely staff but nothing fancy at all we had a lovely sleep but I was surprises when we arrived how modest it was Photos are too good 
Hotel Cavendish, The location a perfect central point for getting around to many museums and to the underground 
Hotel Cavendish, Good price Nice free daily breakfast Very helpful friendly staff 
Hotel Cavendish, Breakfast and location
Hotel Cavendish, Good position Polite staff 
Hotel Cavendish, Good location is the only plus point
Hotel Cavendish, All very good The breakfast ladies were terrific and served up a superb English breakfast 
Hotel Cavendish, When we first got there we were put in a room facing the street when I had requested a garden facing room and the bed was not a double just a bit larger than a twin And the window wouldn t open and it was warm and w o AC or Fan which I had also requested and was stated to have However when we complained about the window the day manager was great He moved us to a larger room on the garden side and a fan and the window would open The room was very comfortable as was the bed The staff was friendly helpful and gracious The full English breakfast was very good and they had yogurt and fruit and cereal too The location is wonderful 5 minute walk to the British museum and not far from the West End for theatre and close to many other museums and good restaurants 
Hotel Cavendish, The hotel location was closed to my business The breakfast is served by a very polite staff and it is ok 
Hotel Cavendish, In a good position and cheep
Hotel Cavendish, This is our third time to stay at Hotel Cavendish We love the location in the university area The breakfast is nice The rooms are comfortable and the staff are helpful and kind The cost is very reasonable all quite comfortable A very good value 
Hotel Cavendish,No Positive
Hotel Cavendish, Good breakfast Ideal location for Euston and facilities available in the evening in the area My room at the back was quiet
Hotel Cavendish, Location was very good Bedroom very clean Breakfast fab mixed fruit salad cereal small cooked breakfast Orange juice tea toast Dining room spotless and staff there very attentive as were Reception staff Thanks to all for such an enjoyable stay 
Hotel Cavendish,No Positive
Hotel Cavendish,No Positive
Hotel Cavendish, The location is good 
Hotel Cavendish, We had a bright triple room in the uppermost floor for 2 guests and that room type was enough for 2 with 3 guests it would have been really tight The staff was really friendly and the breakfast was good The location is ideal if you want to visit British Museum which is free 
Hotel Cavendish, It was clean
Hotel Cavendish, Good location rooms were fairly modern breakfast was fine 
Hotel Cavendish, Reasonably well located Quiet enough on the non street side of the hotel Clean enough Price included breakfast 
Hotel Cavendish, Location was good
Hotel Cavendish, Staff at reception location breakfast and cost 
Hotel Cavendish, Breakfast was really good I also got upgraded free of charge and was able to choose what floor I wanted to stay on
Hotel Cavendish, Nothing 
Hotel Cavendish,No Positive
Hotel Cavendish, Staff was really helpful friendly Location was super Building was in a typical style for this area English charm 
Hotel Cavendish, Good location was what I was expecting for the price and some rooms in other hotels for that price have shared bathrooms so this en suit was good Plenty of towels Friendly check in man Fan and hair dryer in room 
Hotel Cavendish, Room was nice and bed comfy tea coffee etc very good
Hotel Cavendish, Location was only good factor
Hotel Cavendish, The bed was fine so was the breakfast 
Hotel Cavendish, Great location within 5 minutes of 3 different tube lines Friendly staff 
Hotel Cavendish, The location as a single female the hotel felt safe the room was nice and quiet slept well 
Hotel Cavendish, staff great helpful have stayed there before no complaints only the toast at breakfast
