,Hotel,Review,Score
213,The London EDITION, The room was too cold air conditioning not working No spare toilet paper nor toilet brush The room was not very comfortable and had a weird sour smell The Lobby was also cold And the staff was friendly but not really 5 star standard A lot of details were not taken care of such as taking dirty dishes away by room service Bad lighting in the room No electronic plug in the bathroom for hair drying ,-0.9388
214,The London EDITION, Oh dear I can put up with the water leak at 1 am in the morning and having to move rooms these things happen I m not impressed with being told that my room is not available at check in and would I like an upgrade for more money I suspect someone is on performance related bonuses very suspicious of that one Valet parking forgot to get my car when I checked out made me late for meeting not impressed,-0.4704
217,The London EDITION, Nothing,0
218,The London EDITION, None,0
219,The London EDITION, nothing,0
221,The London EDITION, Room email Aircon too loud,0
222,The London EDITION, Demora no check in,-0.296
224,The London EDITION, Nothing,0
225,The London EDITION, Room decor clubby feel noise level in room maintenance,0
230,The London EDITION, Nothing much,0
231,The London EDITION, The lobby in the night noisy spicaly in the weekend,-0.1531
246,The London EDITION, Nothing,0
248,The London EDITION, Leaving,0
249,The London EDITION, Wait time for breakfast too long But hotel more than made up for this ,0
250,The London EDITION, Nothing to mention,0
251,The London EDITION, Nothing,0
253,The London EDITION, A bit noisy Lots of housekeeping in and out that can be heard from the room all day ,-0.1779
259,The London EDITION, breakfast was chaotic concierge was not exceptional,-0.4939
260,The London EDITION, Cold bathroom no heating,-0.296
261,The London EDITION, Lack of breakfast buffet,-0.3182
263,The London EDITION, Couldn t use Maestro card Yellow dim light in rooms ,0
264,The London EDITION, Wooden floors meant being kept awake through the night by neighbours,0
266,The London EDITION, Only what is missing is a Spa,-0.296
268,The London EDITION, Bread in the steak sandwich was far too crunchy hall ways reminded me of an office rooms average for the price,0
270,The London EDITION, The suite was great but not the best value for money in the city ,-0.6763
271,The London EDITION, No bath in a room with double beds,-0.296
272,The London EDITION, The concierge is too busy,0
273,The London EDITION, Rooms are small and very basic ,0
274,The London EDITION, Nothing look forward to staying there again,0
275,The London EDITION, breakfast,0
278,The London EDITION, Nothing,0
280,The London EDITION, Nothing at all,0
281,The London EDITION, Deluxe room had no iron press or tea coffee making facilities ,-0.296
282,The London EDITION, Having to leave ,-0.0516
283,The London EDITION, Small rooms small wardrobe too dark not a family hotel room service,0
284,The London EDITION, ,0
285,The London EDITION, It s not my favourite part of London,0
287,The London EDITION, Shame there was only a gym and not a spa ,-0.4767
290,The London EDITION, when the bar was really crowded,0
291,The London EDITION, No spa facilities,-0.296
295,The London EDITION, on arrival we waited too long to get a room,0
296,The London EDITION, Value for money and poor gym facilities,-0.1779
297,The London EDITION, too crowded with outsider ,0
298,The London EDITION, use of lighting system isn t obvious,0
299,The London EDITION, The view from the room,0
303,The London EDITION, The hotel is fully occupied and I can t requested late checkout ,0
306,The London EDITION, Quality vs Price,0
307,The London EDITION, I booked again a few days later and they charged me more than less than a week ago,-0.2023
308,The London EDITION, Was charged through booking and on arrival Money was ultimately refunded but it required my input to do it ,-0.1027
311,The London EDITION, Helpful staff but a bit messy check in and check out procedure ,-0.3291
314,The Ampersand Hotel, The cupboard length was too short for clothes to be hung ,0
319,The Ampersand Hotel, Room was very small Water not replenished after the first night Shower has a very bad smell One of the towels was stained Breakfast buffet was poor ,-0.7841
324,The Ampersand Hotel, At 1 30am the tablet guide that is provided as courtesy to the guests was vying for attention beeped vibrated and lit up it asked me to rate something or other so I just flipped it over and got back to bed wasn t fully asleep yet but still a tad bit annoying having to get out Also bathroom was lacking a toilet brush ,-0.4215
325,The Ampersand Hotel, When the terror attack happened my partners family called the hotel to make sure we we re ok only the staff said it was not there policy to wake us up to make sure we we re ok No note that they had called either You d think in these circumstances they would of knocked the door to see if we were in or not ,-0.1779
328,The Ampersand Hotel, Housekeeping poor with failure to restock minibar and very late making up the room Breakfast service was very slow we felt forgotten about on one morning Bath filled very slowly the shiny bottom of it was a hazard whilst showering ,-0.8074
329,The Ampersand Hotel, It s a bit on the expensive side of the scale but London in general is quite a pricey place ,0
332,The Ampersand Hotel, None,0
333,The Ampersand Hotel, Room was very small and just along from reception entrance and on road level so was a bit noisy Room very hot despite air conditioning but we were unable to open the window due to traffic and general noise,-0.09
336,The Ampersand Hotel, Room was a bit stuffy and had an mildewy odor Very small but I expected that since it was a small double Located at the end of a hallway near the exit door which made it very undesirable View was of workmen on adjoining roof ,-0.6474
337,The Ampersand Hotel, The bathroom was too small only 1 person at the time In front of the sink you had the door handle in your back Very inconvenient Noisy little dead end street next to the hotel which kept us awake 2 nights in a row drunk people in car and drunk people sitting on the street Also noisy upstairs neighbor ceiling walls are thin We my husband is American had a very hard time understanding the English of most of the staff Italian Spanish Price quality totally out of wack like most hotels in London ,-0.9076
338,The Ampersand Hotel, Room is way too small for what it costs ,0
339,The Ampersand Hotel, There were two drawbacks Firstly there were no grips to get in and out of the bath so I could not take a bath and it was very dangerous getting in and out of the bath just to take a shower I am no longer young The other thing is that the bar and restaurant is in a basement and I have never seen that in any other good hotel and may account for why there was never anyone there I certainly am not going to eat in a basement at a 4 or 5 star hotel,-0.3597
344,The Ampersand Hotel, There didn t seem to be a permanent member of staff to serve drinks in the lounge adjacent to check in ,0
345,The Ampersand Hotel, Breakfast was very busy and no tables free We were accommodated upstairs but lacked staff then to get any extras,-0.3783
350,The Ampersand Hotel, Distant rumbling from deep below ground of tube trains but really not a big deal Didn t keep me awake Probably only affects rooms on ground floor I was in room 007 ,0
352,The Ampersand Hotel, We took afternoon tea We requested coffee rather than tea no problem When then we asked for a second cup we were charged extra 6 00 which is was outrageous when two ladies sitting at the next table were offered a second complete set of sandwiches at nil cost When we raised the issue at Reception when settling up we were told by the Receptionist I have nothing to do with the dining room and that was that Only 6 00 you may say but this mean mindedness has put us off a ever returning and b recommending the hotel to others ,-0.1952
353,The Ampersand Hotel, Nothing ,0
355,The Ampersand Hotel, Couldn t get into the restuarant on the Friday night as it was very busy ,0
356,The Ampersand Hotel, Nothing ,0
358,The Ampersand Hotel, the room is small facilities are average lights are very dim there was a bad smell and there was no view whatsoever,-0.6908
360,The Ampersand Hotel, Room was exceptionally small no room to even put 2 suitcases so for a couple too small to even move around each other Should have upgraded the room and paid a bit extra ,-0.3566
361,The Ampersand Hotel, Absolutely nothing ,0
364,The Ampersand Hotel, The breakfast is not so great I tried full English menu bread was burnt and bacon was overcooked I will come back for the hotel but just go out for breakfast ,-0.3755
365,The Ampersand Hotel, Not that it s any different but more variety in the mini fridges ,0
367,The Ampersand Hotel, A couple of coat hooks on the outside of bathroom door or side of wardrobe would have made a big difference in such a small room ,0
368,The Ampersand Hotel, Nothing at all ,0
370,The Ampersand Hotel, The double room was so small very caulostrphobic the room stunk the smell from the back of the fridge was like stagger water and when you run the taps in the bathroom the smell of drains was disgusting ,-0.5423
372,The Ampersand Hotel, I ve stayed here before but this time I was very disappointed with my room It was tiny with a very large shower room that looked like a disabled toilet I couldn t open both my suitcases in the room I had to store one in the bathroom The hanging space was tiny and it was difficult to access the kettle to make a cuppa ,-0.6798
374,The Ampersand Hotel, I had arranged that on arrival there would be a 18th birthday treat in the room but unfortunately it came later The sink was faulty on second night and had to be attended to ,-0.6369
377,The Ampersand Hotel, Room sizes were tiny and too small for us as a family Also there were no adjoining family rooms,-0.296
383,The Ampersand Hotel, Rooms really are tiny no space to even put a suitcase Staff were overstretched in the evenings The lounge area is always full of non residents making use of the afternoon tea service When checking in the full accommodation and extras cost was reserved on my credit card When I checked out I was told the hold would remain for 10 days company policy the standard excuse Unacceptable ,-0.3744
384,The Ampersand Hotel, Nothing ,0
385,The Ampersand Hotel, Room was next to lift so heard some lift motor noise and foot traffic ,0
389,The Ampersand Hotel, Very small rooms more choices for breakfast you could hear the tube underground vibration if you have a room on the first floor but it was not a concern of mine but may be for some people ,0
391,The Ampersand Hotel, I didnt like that we had to pay 50 pounds in advance I have been in several hotels and never had to pay money in advance,-0.2991
395,The Ampersand Hotel, Wardrobe space rather limited,-0.2263
397,The Ampersand Hotel, The room was very small No alcoholic beverages in the mini bar ,-0.3566
399,The Ampersand Hotel, The room was small even for two people but for the location and price we made it work ,0
400,The Ampersand Hotel, The restaurant Located in the basement and never open when we were hungry Smelt of fish and unappealing ,0
403,The Ampersand Hotel, room is small but to be expected for London,0
405,The Ampersand Hotel, Uncomfortable feather pillows with no latex ones available Hairdryer didn t work,-0.5859
407,The Ampersand Hotel, Nothing,0
410,The Ampersand Hotel, Staff in the front parlor were hard to come by made getting a quick coffee in the morning difficult and we had to wait quite a while to get someone to seat us for tea ,-0.4404
415,The Ampersand Hotel, I found a mouse In My room And got Sick some kind of poisoning And the hotel couldn t care less about what happens as soon as left the hotel they started with emails about proof and not being possible Don t recommend at all ,-0.4005
417,The Ampersand Hotel, I cannot think if one thing ,0
418,The Ampersand Hotel, Upgraded double room was still tiny Only place to eat breakfast was on the bed Appalling service in the bar despite lots of staff for which they had the cheek to charge an extra 12 5 for service ,-0.3612
419,The Ampersand Hotel, Creaky floors air conditioning that blows on people sleeping a bit over priced ,0
422,The Ampersand Hotel, Room rather small ,0
427,The Ampersand Hotel, Unable to access games room as it was being used for a conference during our stay ,0
428,The Ampersand Hotel, Nothing ,0
429,The Ampersand Hotel, Very difficult to answer Everything first class,-0.4201
432,The Ampersand Hotel, Nothing ,0
434,The Ampersand Hotel, I hate feather pillows There should be an option for synthetic ,-0.5719
437,The Ampersand Hotel, Absolutely nothing ,0
440,The Ampersand Hotel, Nothing ,0
452,The Ampersand Hotel, No iron board in the room and had to call housekeeping twice to get one and the guy sighed when i asked for it ,-0.296
453,The Ampersand Hotel, Not any space for luggage or putting away clothes if on a multi night stay but manageable ,0
455,The Ampersand Hotel, Nothing,0
456,The Ampersand Hotel, Honstly nothing since I have been coming back for 3 years ,0
457,The Ampersand Hotel, Waiters were a bit arrogant ,-0.4939
458,The Ampersand Hotel, The kitchen furniture in the suit is old and dark The breakfast in the room is very poor The fruit salad Wasn t fresh The staff forgot the toast the honey the butter the milk ,-0.2716
460,The Ampersand Hotel, Roomd are too shall You cannot literally turn around one was also darle and slightly claustrophobic This was a double room ,0
464,The Ampersand Hotel, I think breakfast should be included but even when we ordered coffee to the room and asked for very plain cookies for our child they said they had nothing thats just general service in every hotel couldn t find anything for a child to eat in restaurant downstairs no plain kids food so had to eat out which we didn t really want to do ,-0.2289
465,The Ampersand Hotel, The ping pong table wasn t available That s why we stayed there in the first place besides the 4 1 2 star rating ,0
466,The Ampersand Hotel, There was nothing in my opinion to dislike ,-0.3818
468,The Ampersand Hotel, Nothing ,0
469,The Ampersand Hotel, Nothing,0
472,The Ampersand Hotel, Air conditioner shut off at midnight and was very weak ,-0.4927
473,The Ampersand Hotel, The hotel was vastly overpriced and doesn t compare to other 5 star hotels in London I think the rating is wrong,-0.4767
474,The Ampersand Hotel, The gym is very small,0
477,The Ampersand Hotel, Room was small and dark,0
478,The Ampersand Hotel, first floor is too close to the street,0
483,The Ampersand Hotel, price,0
484,The Ampersand Hotel, Nothing,0
486,The Ampersand Hotel, the cleaning staff was a bit aggressive,-0.1531
487,The Ampersand Hotel, The room was tiny ,0
491,The Ampersand Hotel, Hotel too hot,0
492,The Ampersand Hotel, Stuff ignored complain about poor bed The room is too dark,-0.7845
494,The Ampersand Hotel, Nothing,0
498,The Ampersand Hotel, Nothing,0
500,The Ampersand Hotel, Nothing,0
502,The Ampersand Hotel, The bathroom is for dis abled,0
503,The Ampersand Hotel, Could have told us about the bar upon arrival,0
506,The Ampersand Hotel, The small double was really really small ,0
507,The Ampersand Hotel, If you have a room on the ground floor you can hear the tube going late into the night and early in the morning ,0
508,The Ampersand Hotel, The room lighting was not great so its hard for a lady to get ready,-0.3553
509,The Ampersand Hotel, Not a thing ,0
510,The Ampersand Hotel, An absence of staff in lounge to attend to anything ,0
511,The Ampersand Hotel, Lack of hot food room service after midnight and being woken at 9 am by hammering due to hotel maintenance,-0.3182
512,The Ampersand Hotel, It next to a school and very noisu,0
514,The Ampersand Hotel, The room and the bed are a bit too small Our bathroom was almost bigger ,0
516,The Ampersand Hotel, Did not like my eggs Benedict,-0.2755
518,The Ampersand Hotel, Nothing,0
519,The Ampersand Hotel, Breakfast not included but great place beside tube station,-0.6642
520,The Ampersand Hotel, Nothing,0
523,The Ampersand Hotel, Slightly cheaper,0
525,The Ampersand Hotel, To small room ,0
528,The Ampersand Hotel, Closet in my bedroom is too small croissants with ham and cheese need to be heated ,0
530,The Ampersand Hotel, Didn t answer email questions prior to arrival Twice ,0
534,The Ampersand Hotel, Nothing,0
535,The Ampersand Hotel, rooms and bathroom are small,0
536,The Ampersand Hotel, Nothing,0
538,The Ampersand Hotel, small room size,0
539,The Ampersand Hotel, The beds were too soft and we both woke up with sore backs ,-0.4019
543,The Ampersand Hotel, Bed too small,0
544,The Ampersand Hotel, We asked an extra bed for the children on each of the rooms but it was only put there at night,0
546,The Ampersand Hotel, Very small room Relatively high price,0
550,The Ampersand Hotel, Room rather small,0
551,The Ampersand Hotel, Room somewhat cramped,0
552,The Ampersand Hotel, The room was a little noisy could hear neighbouring room s shower,-0.1045
553,The Ampersand Hotel, Small room,0
560,The Ampersand Hotel, Smell of damp in room,0
562,The Ampersand Hotel, nothing ,0
563,The Ampersand Hotel, Room was too small,0
564,The Ampersand Hotel, I was on the first floor and the noise and vibration of the underground disturbed me ,-0.3818
565,The Ampersand Hotel, Lots of dust in bedroom,0
567,The Ampersand Hotel, Smallness of the room no place for suitcases small wardrobe too,-0.296
568,The Ampersand Hotel, Room was very cosy but I assume this is hard to change,-0.1531
571,The Ampersand Hotel, Very very small dark rooms noisy lift,-0.1779
573,The Ampersand Hotel, Sized double bed,0
574,The Ampersand Hotel, Bad milk in fridge Food expensive ,-0.5423
575,The Ampersand Hotel, Room size Too soft beds Furniture,0
576,The Ampersand Hotel, Petty buy we couldn t use our hard drive on the tv,-0.296
581,The Ampersand Hotel, Some of the towels was smelly,0
584,The Ampersand Hotel, Room very small my husband had to squeeze round to get into bed ,0
586,The Ampersand Hotel, Nothing,0
587,The Ampersand Hotel, No,-0.296
593,The Ampersand Hotel, The space is too small for two people,0
595,The Ampersand Hotel, Room not cleaned properly,0
596,The Ampersand Hotel, The hotel has difficulty accommodating guests in the breakfast room when the hotel is busy or at busy times in the morning ,-0.34
597,The Ampersand Hotel, Quite expensive ,0
601,The Ampersand Hotel, Difficult to regulate temp in room,-0.3612
602,The Ampersand Hotel, ,0
604,The Ampersand Hotel, Nothing,0
605,The Ampersand Hotel, Understaffed at breakfast time,0
607,The Ampersand Hotel, Needed 1 armchair to sit andread ,0
608,The Ampersand Hotel, Room was very small ,0
611,The Ampersand Hotel, Room was EXTREMELY small,0
614,The Ampersand Hotel, nothing,0
616,The Ampersand Hotel, More vegetarian breakfast options,0
617,The Ampersand Hotel, Room a bit small ,0
619,The Ampersand Hotel, Nothing,0
620,The Ampersand Hotel, Nothing,0
621,The Ampersand Hotel, Could hear the Underground from room Some of the rooms can be very small ,0
631,The Ampersand Hotel, Didn t bother me but you can faintly hear the underground trains in first floor rooms,-0.1779
632,The Ampersand Hotel, Rooms were a bit small ,0
633,The Ampersand Hotel, Nothing Very happy with our experience ,-0.4964
635,The Ampersand Hotel, Room a bit too small for the price,0
636,The Ampersand Hotel, Nothing,0
639,The Ampersand Hotel, Noisy,-0.1779
641,The Ampersand Hotel, Being above a tube station you can feel hear trains below as they pass by Seek higher floors ,0
642,The Ampersand Hotel, Room was a bit small and no where to store cases ,-0.296
643,The Ampersand Hotel, Small room,0
645,The Ampersand Hotel, No negatives pretty satisfied with everything,-0.2565
648,The Ampersand Hotel, Breakfast service was very slow ,0
654,The Ampersand Hotel, Lots of dust on the furniture lights,0
658,The Ampersand Hotel, Rooms can be quite small,0
659,The Ampersand Hotel, Second visit our room was tiny so would request larger room next time,0
660,The Ampersand Hotel, Some staff are not friendly ,-0.3875
662,The Ampersand Hotel, Rather small room,0
663,The Ampersand Hotel, Breakfast should be included ,0
664,The Ampersand Hotel, The rooms were very small ,0
665,The Ampersand Hotel, Room was very small could not move Also when watching television you had to turn your head to the side ,0
666,The Ampersand Hotel, Beds were saggy with poor support,-0.1027
667,The Ampersand Hotel, Experienced underground train vibratos in the front rooms,0
668,The Ampersand Hotel, At times the desk staff was a bit short,0
674,The Ampersand Hotel, Hot room frayed towels noisy street very small bathroom,-0.1779
675,The Ampersand Hotel, You can hear feel the train as it passes under the Hotel,0
680,The Ampersand Hotel, we requested a wake up call everyday but two days we never received the call and we overslept and missed our appointments ,-0.4215
681,The Ampersand Hotel, Restaurant hours,0
682,The Ampersand Hotel, Small rooms ,0
685,The Ampersand Hotel, The standard room is just too basic for the price ,0
686,The Ampersand Hotel, The single room is far too small ,0
688,The Ampersand Hotel, Bath room s sink is too small ,0
691,The Ampersand Hotel, Location,0
693,The Ampersand Hotel, Nothing,0
694,The Ampersand Hotel, Room a bit small,0
695,The Ampersand Hotel, My single bed had a big dip in it ,0
698,H tel Keppler, WiFi was very slow at some moments but I can t say it was bothering us because most of the time we were exploring the city ,-0.5267
701,H tel Keppler, The pillows were of poor quality and quite uncomfortable ,-0.7178
702,H tel Keppler, UHT milk served with tea in the afternoon No biscuits available ,-0.296
